wav_filename,wav_filesize,transcript
common_voice_ca_20232185.wav,194348,ben aviat van aparèixer grans exponents de la nova disciplina
common_voice_ca_20512550.wav,184364,els adults són marrons i amb taques blanques disperses a les ales
common_voice_ca_20512552.wav,157484,pot ser convertit en l'arbre binari de la dreta
common_voice_ca_21851070.wav,203564,nombrosos camperols es van instal·lar a holanda per convertir els pantans en pòlders
common_voice_ca_20560154.wav,134444,fou protegit de mecenes
common_voice_ca_20942569.wav,149804,ella era coneguda per la seva saviesa i humilitat
common_voice_ca_21287459.wav,231212,es va suspendre el treball en el pont per permetre la realització d'una investigació
common_voice_ca_20581432.wav,263468,celler format per una sola nau amb un annex lateral adossat paral·lelament en un costat
common_voice_ca_20577259.wav,238124,darrere el presbiteri hi ha la sagristia construïda sota el campanar
common_voice_ca_20595889.wav,195884,així es va iniciar a la capital catalana l'era del jazz
common_voice_ca_20508346.wav,226604,l'objectiu del centre és la conservació i promoció del patrimoni cultural i natural de karonga
common_voice_ca_19418555.wav,188204,quan surt per l'altre costat del túnel ja és la riera de l'estany
common_voice_ca_20573637.wav,180524,havia nascut l'emmanuel tot i que aleshores encara no amb aquest nom
common_voice_ca_19882979.wav,251180,les medalles contenen les imatges de perfil de lenin i stalin mirant a l'esquerra
common_voice_ca_20577255.wav,207404,la seva família paterna és originària de guinea equatorial
common_voice_ca_20508347.wav,215084,just en aquest lloc se'n desvia cap al nord-est la pista de la plana
common_voice_ca_19896594.wav,278828,els viatges poden variar d'acord amb l'edat del grup i el seu context religiós
common_voice_ca_21774351.wav,294188,l'implant es retira amb anestèsia local fent una petita incisió per extreure'n la vareta
common_voice_ca_20567420.wav,325676,un altre exemple d'aplicació de l'osmosi inversa és un procediment industrial eficaç de descontaminació d'aigües
common_voice_ca_23589786.wav,165164,el quart moviment contrasta amb el precedent per la seva alegria
common_voice_ca_20232218.wav,209708,els processos legals pel que fa a l'assumpte estan encara avui dia en curs
common_voice_ca_19896686.wav,182828,aquesta crida no té prou ressò i el setmanari es va deixar de publicar
common_voice_ca_20232183.wav,199724,va estudiar literatura a les universitats de jena i leipzig
common_voice_ca_23589764.wav,202028,l'any següent en tornar de vacances d'estiu formaria part dels informatius del matí
common_voice_ca_19498759.wav,178220,la seva mort va ser atribuïda a una embòlia pulmonar
common_voice_ca_20567413.wav,281132,el poc que s'ha escrit sobre tiberi bessó està connectat amb els relats sobre calígula
common_voice_ca_21872315.wav,303404,la línia del front es deté just entre la demarcació fronterera entre guipúscoa i biscaia
common_voice_ca_20567472.wav,107564,i en va fer la seva causa
common_voice_ca_20232184.wav,82988,són plantes monoiques
common_voice_ca_21205774.wav,142124,gairebé totes aquestes llengües són ara extintes
common_voice_ca_21333553.wav,171308,a partir d'aleshores es va recuperar la supercopa alemanya
common_voice_ca_21338018.wav,215852,els revoltats van atribuir a aquests crims una intencionalitat política o anticlerical
common_voice_ca_20560152.wav,161324,el príncep i els seus consellers han de treballar per aquest fi
common_voice_ca_21850950.wav,169004,a través del comte també va donar-se a conèixer a la cort de berlín
common_voice_ca_20580654.wav,192044,evidentment com més lluny està més interfereix
common_voice_ca_19805525.wav,241964,russell va néixer en una família de les altes esferes de l'aristocràcia britànica
common_voice_ca_21774352.wav,271148,actualment l'edifici és obert a visites guiades els dimecres i els dissabtes
common_voice_ca_20581267.wav,254252,les seves canyes s'usen per a fer tanques en la construcció i en cistelleria
common_voice_ca_21777855.wav,157484,al centre hi ha una illeta amb una abundosa vegetació
common_voice_ca_20580367.wav,303404,la seva pell acostuma a ser aspre i de color marronós especialment durant l'època terrestre
common_voice_ca_21852111.wav,299564,cadascuna de les formes de minimitzar aquest error és un mètode d'implementar els filtres adaptatius
common_voice_ca_20508324.wav,203564,també es conserva part del fons del seu pare josep sant pere
common_voice_ca_21338010.wav,180524,els grans problemes dels habitants del mas han estat el bandolerisme i els plets
common_voice_ca_20232220.wav,145964,els seus pares eren immigrants argentins
common_voice_ca_20581435.wav,264236,fou seguida d'intervencions de restauració i neteja de les superfícies de pedra i ciment decoratiu
common_voice_ca_20572962.wav,155948,obertures verticals ressalten els seus emmarcats
common_voice_ca_19882976.wav,212780,la segona temporada arrenca amb el grup separat
common_voice_ca_20577250.wav,328748,durant la celebració hi hagué sengles homenatges a guillem agulló i muriel casals
common_voice_ca_17667553.wav,236588,quatre filles i una mare cinc dimonis per a un home
common_voice_ca_19911335.wav,253484,la morfologia de l'illa és petita i plana situada en un banc molt rocós
common_voice_ca_19418554.wav,248108,per a un cultiu enriquidor d'aquestes plantes el més important és una bona hidratació
common_voice_ca_21226601.wav,187436,actualment es conserva a la biblioteca reial de torí
common_voice_ca_21300285.wav,255788,per això en aquesta comarca es manifesta fonamentalment encara que amb certa timidesa a alcanyís
common_voice_ca_21226553.wav,153644,es reparteixen equitativament totes les cartes
common_voice_ca_21338014.wav,161324,també s'hi poden veure restes encara de la taula de l'altar
common_voice_ca_20222284.wav,172076,estudia la composició i morfologia de les comunitats microbianes a l'entorn
common_voice_ca_21338017.wav,155948,a cada historieta resolen un cas detectivesc enigmàtic
common_voice_ca_21852327.wav,225068,la psicologia cognitiva diferència entre conductisme i cognitivisme
common_voice_ca_21776399.wav,106796,allà va descobrir l'impressionisme
common_voice_ca_19904796.wav,194348,hi ha boscos de diverses espècies d'eucaliptus
common_voice_ca_21338012.wav,192044,altres usos inclouen infeccions de l'otitis mitjana i la diarrea del viatger
common_voice_ca_21079029.wav,125228,president de la comissió de treball
common_voice_ca_20567412.wav,169772,també era senyor del castell de la guàrdia de montserrat
common_voice_ca_19911336.wav,299564,va tenir variades versions com una exposició assemblea recollida de signatures festes reivindicatives
common_voice_ca_21338013.wav,166700,aquesta lluna destaca per tenir una òrbita molt excèntrica
common_voice_ca_21872312.wav,271148,aquestes connexions poden proporcionar una forma senzilla de realitzar enginyeria inversa
common_voice_ca_21338015.wav,183596,corona la taula un calvari on es representen diversos cavalls en escorç
common_voice_ca_20232216.wav,221228,als laterals del permòdol s'hi repeteix el motiu decoratiu les rosetes
common_voice_ca_19896654.wav,148268,l'estadi de futbol de buenaventura porta el seu nom
common_voice_ca_20560151.wav,217388,també va ser diputat provincial a la diputació de tarragona per tres vegades
common_voice_ca_21776397.wav,131372,ha estat internacional amb alemanya
common_voice_ca_21205776.wav,240428,aquesta junt amb fets fabulosos i exagerats inclou molta informació valuosa sobre països desconeguts
common_voice_ca_21226555.wav,130604,d'aquesta forma la planta mor
common_voice_ca_19904799.wav,209708,més tard va ser usat pels otomans durant la seva hegemonia sobre la regió
common_voice_ca_20581433.wav,139820,està situada al centre de la vila de torà
common_voice_ca_17529302.wav,188204,per casar filles solteres no vengues moltons ni ovelles
common_voice_ca_20843483.wav,140588,es troba a myanmar i tailàndia
common_voice_ca_21205773.wav,140588,els manuscrits d'aquest període s'han perdut
common_voice_ca_20508326.wav,234284,el tipus estel·lar determina en gran manera les condicions presents en un sistema
common_voice_ca_20561022.wav,155948,quan existia un conflicte la llei de roma s'imposava
common_voice_ca_20580370.wav,225068,el seu estat de conservació és força dolent i es troba bastant enderrocat
common_voice_ca_20561124.wav,136748,la revolta va augmentar contínuament tot el febrer
common_voice_ca_21255269.wav,205868,es defineix com una organització nacionalista progressista de centre
common_voice_ca_20232213.wav,176684,va ser el principal defensor d'astorga en la guerra del francès
common_voice_ca_20577258.wav,180524,la floració d'aquest arbre era auguri de bona collita
common_voice_ca_20515488.wav,142892,hi havia vinyes i camps de cereals al secà
common_voice_ca_21852112.wav,192044,habiten en pasturatges aquàtics i matolls
common_voice_ca_21079052.wav,178988,per tant el treball és el mitjà per arribar a la santificació
common_voice_ca_20222279.wav,182828,el fort vent va fer caure nombrosos arbres dificultant la circulació per carretera
common_voice_ca_21285968.wav,202028,ramon d'anglesola va morir mentre era en camí de la seva nova seu
common_voice_ca_19883002.wav,149036,finalment se li va permetre marxar
common_voice_ca_21852461.wav,192044,l'interior posseeix obres d'art de gran interès
common_voice_ca_19896683.wav,138284,el formava només un poble
common_voice_ca_20561120.wav,138284,la coberta és de bigues de fusta i teula àrab
common_voice_ca_20580656.wav,202028,en acabar la mateixa el club el renova per tres anys més
common_voice_ca_20561100.wav,215084,el govern es va recolzar en aquesta nova moneda de valor fix finalment acceptada
common_voice_ca_20574189.wav,209708,l'objectiu era aconseguir el màxim consens sobre el futur estatut d'autonomia
common_voice_ca_19805518.wav,201260,quan s'inicià la guerra del francès es va mostrar absolutament en contra dels invasors
common_voice_ca_20577251.wav,225068,no existeixen censos oficials de les confessions a síria
common_voice_ca_20512548.wav,144428,l'any següent se'n duplica la producció
common_voice_ca_21850952.wav,178988,la seva obra fou prohibida durant el tercer reich
common_voice_ca_20561122.wav,184364,no obstant això ja estava buida quan el lladre va arribar-hi
common_voice_ca_19883006.wav,220460,la façana manierista no té res a veure amb la decoració de l'interior
common_voice_ca_21079050.wav,226604,els receptors muscarínics poden ser bloquejats per l'atropina i l'escopolamina
common_voice_ca_20902841.wav,211244,té una entrada amb llinda de pedra orientada al sud
common_voice_ca_21852465.wav,253484,la seva arribada va permetre restablir la situació per terra
common_voice_ca_21079032.wav,145964,la qualitat de les miniatures és més feble
common_voice_ca_21079049.wav,145964,aquest record ha sobreviscut al pas del temps
common_voice_ca_21255270.wav,178988,va ser autor de literatura basca i d'estudis de poesia
common_voice_ca_21300282.wav,195884,es pot expressar en valors absoluts o en percentatges sobre el cens
common_voice_ca_19498757.wav,107564,l'estil oficial era el neoclàssic
common_voice_ca_21852089.wav,230444,es va llicenciar en filologia anglesa a la universitat de barcelona
common_voice_ca_21852091.wav,226604,el seu camp de recerca va ser fonamentalment l'àlgebra
common_voice_ca_20560332.wav,138284,en altres llengües es considera una amanida de fruita
common_voice_ca_21255271.wav,140588,hi ha varietats de flor groga
common_voice_ca_21852109.wav,236588,tot just hi ha dues hectàrees d'albercoquers fora de la vinya
common_voice_ca_20573634.wav,194348,a partir de llavors va ser inclòs al campionat de ral·lis àsia pacífic
common_voice_ca_20567409.wav,287276,d'aquesta manera els submarins alemanys podien atacar als vaixells italians sense ocultar la seva identitat
common_voice_ca_23589782.wav,98348,la capital era kassel
common_voice_ca_21777857.wav,183596,també s'han perdut alguns elements de pedra de la part superior dels murs
common_voice_ca_20577254.wav,184364,els partits polítics van poder reprendre l'activitat
common_voice_ca_20595888.wav,274988,es tracta d'una creu situada damunt una plataforma de planta quadrada formada per dos graons
common_voice_ca_21079030.wav,188204,estudis a l'acadèmia de belles arts de sant sebastià de palma
common_voice_ca_19418556.wav,145964,tanmateix sembla que ho havia estat
common_voice_ca_21872314.wav,190508,prengué el camí de l'exili cap al panamà primer i costa rica després
common_voice_ca_19418553.wav,165164,el rodatge segueix a santa marta colòmbia
common_voice_ca_19883005.wav,238124,el cos principal del mas es desenvolupa a costat i costat de la torre
common_voice_ca_21338009.wav,307244,una inhabilitat de trencar els proteoglicans és característica d'un grup de trastorns genètics anomenats mucopolisacaridosis
common_voice_ca_20560283.wav,149804,la seva producció es basava en motocicletes de gran qualitat
common_voice_ca_21852125.wav,126764,barcelona de bàsquet
common_voice_ca_19805519.wav,184364,l'artista va fer moltes obres sense títol durant la seva trajectòria
common_voice_ca_20572964.wav,117548,es troben a la superfície de la pell
common_voice_ca_19896596.wav,152108,l'església també era dels hospitalers
common_voice_ca_21872313.wav,182828,no disposa d'infraestructures significatives
common_voice_ca_20232186.wav,171308,amplià estudis a roma i fou organista de la patriarcal de lisboa
common_voice_ca_21255268.wav,271148,simultàniament es varen celebrar eleccions europees a la resta d'estats membres de la unió
common_voice_ca_20567419.wav,291884,la jugabilitat és limitada però pot tenir una perspectiva en primera o tercera persona
common_voice_ca_21852324.wav,203564,els frescos de la nau central del temple són de josep minguell
common_voice_ca_20577252.wav,209708,l'esdeveniment es va disputar sempre en el wembley arena
common_voice_ca_23589785.wav,145964,els temes cantats eren bàsicament de tipus religiós
common_voice_ca_20561023.wav,255788,aleshores l'estranger dionís apareix mostra la seva identitat divina i castiga tota la família
common_voice_ca_19911333.wav,172844,al costat del parc es troba el nucli residencial
common_voice_ca_21777853.wav,212012,és un monument del municipi de la vall de boí declarat bé cultural d'interès nacional
common_voice_ca_20560150.wav,140588,fou adaptat a unes sèries d'anime
common_voice_ca_20573639.wav,165164,un tipus de dades escalar és el tipus d'una variable escalar
common_voice_ca_20581436.wav,266540,en l'obra ja s'aprecia el tret principal del seu teatre els conflictes interns del protagonista
common_voice_ca_19805527.wav,119084,el coronament de la façana és corb
common_voice_ca_20567422.wav,187436,el va voler sotmetre amb unes trampes preparades però no se'n va sortir
common_voice_ca_19904798.wav,230444,es distingeix d'espècies properes per emetre ultrasons de freqüències més baixes
common_voice_ca_20595887.wav,317228,també esperà recuperar el suport internacional perdut arrel que hamàs estava en el poder
common_voice_ca_21079051.wav,165164,és a ponent del maset i al sud-oest de pregona
common_voice_ca_19805523.wav,249644,la seva arribada a l'arc mediterrani se suposa per la importació de palmeres prèviament infestades
common_voice_ca_19904795.wav,145964,era tot un negoci
common_voice_ca_20512551.wav,198188,cada ministre és responsable de les accions del seu departament
common_voice_ca_21774354.wav,167468,vint-i-cinc equips prenen part en la cursa
common_voice_ca_21285967.wav,208940,anteriorment han existit societats arcaiques que només van tenir normes primàries
common_voice_ca_20942567.wav,172844,esglésies i monestirs es van convertir per a usos profans
