wav_filename,wav_filesize,transcript
common_voice_ca_21348668.wav,290348,van formar part de la companyia agafes lírics dirigida per antonio mitjà
common_voice_ca_21675603.wav,288044,entre aquestes plantes s'inclouen una varietat d'herbes natives i introduïdes herbàcies i petits arbustos
common_voice_ca_21675602.wav,217388,no s'ha trobat la propietat local per a l'equip obligant als rockers de vegades
common_voice_ca_21348678.wav,255788,tenen tres pisos d'alçada la major part d'ells amb coberta a dues aigües o plana
common_voice_ca_20511161.wav,184364,actualment segueix la seva carrera en solitari
common_voice_ca_21348681.wav,176684,prové de la lletra gamma de l'alfabet grec
common_voice_ca_20511162.wav,308780,el fons personal de ramon d'alòs-moner es conserva a l'arxiu de l'institut d'estudis catalans
common_voice_ca_20511105.wav,231980,les dades es distribueixen de forma entrellaçada en diverses unitats simultàniament
common_voice_ca_19541194.wav,317228,la definició estàndard de calibre d'un cartutx suposa que s'utilitza una bola de plom pur
common_voice_ca_20448352.wav,141356,aquest subgrup és part del grup local
common_voice_ca_20511103.wav,246572,els elements més remarcables són un portal adovellat i un petit pou
common_voice_ca_20511158.wav,169004,al final de la coreografia es canvia de parella
common_voice_ca_19541197.wav,305708,la còpula sovint té lloc mentre estan suspesos de mans i peus a branques horitzontals
common_voice_ca_21348680.wav,232748,la seva eliminació va ser el resultat d'un procés que va començar amb el poble
common_voice_ca_19541193.wav,305708,a partir d'aquí el recorregut es fa més exigent
common_voice_ca_19541196.wav,203564,va fer vida militar despreocupada i disbauxada
common_voice_ca_19541195.wav,226604,la tortura és utilitzada en els centres d'investigació dels àrabs
common_voice_ca_20841782.wav,190508,els cinc millors de la semifinal passaven a la final
common_voice_ca_19503277.wav,272684,aquesta va ser la seva única intervenció en les guerres civils britàniques
common_voice_ca_21348672.wav,232748,és a dir quan la seva altura és zero passant de negativa a positiva
common_voice_ca_20511159.wav,242732,és a ponent i una mica al nord del coll del baladre
common_voice_ca_21348671.wav,205868,la casa reig és de planta quadrada i ben proporcionada
common_voice_ca_20448354.wav,187436,va ser el primer monarca a utilitzar el palau com a residència permanent
common_voice_ca_20448353.wav,259628,l'alcohol aleshores es destil·la i es treu mitjançant mètodes tradicionals
common_voice_ca_20841783.wav,230444,l'ambigüitat de la clàusula ha donat lloc a diferents interpretacions
common_voice_ca_21348669.wav,188204,les palmes fan referència als patrons del poble
common_voice_ca_20841784.wav,199724,també va vendre moltes de les seves pintures per a la guerra
common_voice_ca_21348679.wav,228908,les noves defenses no impedeixen que els portuguesos prenguessin la vila
common_voice_ca_20841780.wav,195884,s'ha convertit en un clàssic de la música del cinema
common_voice_ca_20511169.wav,203564,tota la façana presenta esgrafiats de motius geomètrics
common_voice_ca_21675601.wav,115244,s'explotaven les pedreres
common_voice_ca_20511107.wav,186668,com a resultat d'això torre va ser destituït
common_voice_ca_20841781.wav,280364,hi havia també i encara existeixen màquines d'escriure basades en el mateix principi
common_voice_ca_21675604.wav,155948,aquest canvi de llibreter va coincidir amb un canvi d'ubicació
common_voice_ca_21348682.wav,159788,joan oró va néixer a la bordeta
common_voice_ca_20511160.wav,210476,maimònides l'utilitza en la confecció dels seus llibres de medicines
common_voice_ca_21348670.wav,249644,passa l'hivern en hibernació i també estiven en els períodes més calorosos de l'estiu
common_voice_ca_20511168.wav,315692,al pis una obertura es troba transformada en balcó i les laterals tenen ampit
