wav_filename,wav_filesize,transcript
common_voice_ca_19995109.wav,188972,va cursar els estudis primaris i secundaris en centres públics de la ciutat de girona
common_voice_ca_20232218.wav,209708,els processos legals pel que fa a l'assumpte estan encara avui dia en curs
common_voice_ca_20232183.wav,199724,va estudiar literatura a les universitats de jena i leipzig
common_voice_ca_19737586.wav,206636,cauen a la seva pròpia trampa enamorant-se realment mentre passen el temps junts
common_voice_ca_19907794.wav,88364,i arribà la fama
common_voice_ca_23498485.wav,199724,també organitzen activitats per a fomentar el voluntariat
common_voice_ca_21189980.wav,192812,van aparèixer a principis del juràssic i va extingir-se al final del cretaci
common_voice_ca_21338018.wav,215852,els revoltats van atribuir a aquests crims una intencionalitat política o anticlerical
common_voice_ca_20560152.wav,161324,el príncep i els seus consellers han de treballar per aquest fi
common_voice_ca_19737590.wav,129068,la capital de l'estat és maracay
common_voice_ca_20754784.wav,113708,també va escriure una paròdia sobre els problemes d'aristòtil
common_voice_ca_20499584.wav,230444,amb l'aparició del sistema d'escriptura cuneïforme s'escriuran paraules pròpiament dites
common_voice_ca_19894401.wav,203564,la masia és una construcció de gran volum format per dos cossos
common_voice_ca_19519719.wav,155948,aquests en són els primers castlans coneguts
common_voice_ca_21338017.wav,155948,a cada historieta resolen un cas detectivesc enigmàtic
common_voice_ca_19907790.wav,130604,l'interior és una sola nau de planta rectangular
common_voice_ca_19995150.wav,202796,no se sap quan fou construïda ni qui era el cassi que la va construir
common_voice_ca_21338015.wav,183596,corona la taula un calvari on es representen diversos cavalls en escorç
common_voice_ca_21338013.wav,166700,aquesta lluna destaca per tenir una òrbita molt excèntrica
common_voice_ca_20232216.wav,221228,als laterals del permòdol s'hi repeteix el motiu decoratiu les rosetes
common_voice_ca_23498777.wav,158252,l'estació forma part de la línia saragossa-valència
common_voice_ca_19930309.wav,144428,la majoria habiten en aigües dolces però també n'hi ha d'aigües marines
common_voice_ca_21893060.wav,141356,el gust de la carn d'estruç s'assembla al de la vedella
common_voice_ca_20172690.wav,198188,la façana té una gran simetria trencada únicament pel balcó del primer pis
common_voice_ca_20462567.wav,155948,es troba localment a l'àfrica occidental oriental i meridional
common_voice_ca_23498483.wav,215852,el terme generalment es reté a causa del seu ús comú
common_voice_ca_20560332.wav,138284,en altres llengües es considera una amanida de fruita
common_voice_ca_21852109.wav,236588,tot just hi ha dues hectàrees d'albercoquers fora de la vinya
common_voice_ca_21889283.wav,205868,aquesta cronologia presenta moltes dades sobre les espases i només algunes sobre l'ofici
common_voice_ca_20232186.wav,171308,amplià estudis a roma i fou organista de la patriarcal de lisboa
common_voice_ca_19896596.wav,152108,l'església també era dels hospitalers
common_voice_ca_21889280.wav,159788,es desconeix la data exacta d'execució d'aquesta escultura
common_voice_ca_20172687.wav,226604,ja als anys vint el futbol havia agafat força volada a la ciutat
common_voice_ca_21723367.wav,203564,brancatge abundant el que el converteix en un excel·lent arbre d'ombra per a passeigs
common_voice_ca_19907792.wav,157484,els catàlegs antics diuen que esteve era d'origen romà fill de joví
common_voice_ca_20293523.wav,170540,es tracta doncs d'un topònim plenament romànic medieval
common_voice_ca_20293547.wav,180524,el seu recorregut es desenvolupa al departament francès de l'alta còrsega
common_voice_ca_19907781.wav,186668,té importants indústries metal·lúrgiques elèctriques d'impremta i d'industrialització del cuir
common_voice_ca_20346141.wav,282668,l'indret comprèn onze edificis antics i espais paisatgístics històrics i actuals
common_voice_ca_19907391.wav,186668,generalment les divises de l'armada es duen a les espatlles i als punys
common_voice_ca_21363002.wav,226604,la seva posició més alta a la lliga xipriota de futbol és un tercer lloc
common_voice_ca_19907394.wav,103724,l'alimentació depèn de l'hàbitat
common_voice_ca_20293525.wav,180524,afirma que entre les seves passions hi ha la literatura especialment la poesia
common_voice_ca_20346139.wav,263468,juntament amb les idees han importat dins les seves pròpies llengües pròpies d'altres llengües
common_voice_ca_21363036.wav,299564,el color natural del zircó varia entre groc-daurat vermell marró verd o incolor
common_voice_ca_21777851.wav,206636,el seu màxim representant era el mateix joan verger pocoví
common_voice_ca_20172705.wav,175148,les autoritats de zimbàbue varen dir que és lliure per visitar el país
common_voice_ca_19894600.wav,161324,en l'actualitat compta amb un carrer en un barri nou de la seva ciutat
common_voice_ca_20560280.wav,241964,els visitants són registrats i les borses i cistelles són revisades a la recerca d'explosius
common_voice_ca_19737745.wav,224300,l'economia austrohongaresa va canviar profundament durant l'època de la monarquia dual
common_voice_ca_20499585.wav,175148,capella d'una nau adossada a partir d'un cobert a un mas
common_voice_ca_20346246.wav,291884,els censos de població parlen de molt pocs habitants en aquest territori
common_voice_ca_21893061.wav,191276,el consell també estava molt preocupat per les denúncies d'abús sexual per cascos blaus
common_voice_ca_21889286.wav,153644,dos anys després la formació passa a tenir llicència belga
common_voice_ca_21333549.wav,142124,el clima era molt fred però sa
common_voice_ca_20515487.wav,174380,l'únic punt a tractar era l'amenaça francesa al rosselló
common_voice_ca_21338016.wav,205100,es tracta d'un torrent de règim mediterrani que només porta aigua els dies de pluja
common_voice_ca_20234276.wav,139820,treballa com a consellera i educadora en el camp a estocolm
common_voice_ca_19897123.wav,205868,una petita porció del castell encara roman dins del recinte de la catedral
common_voice_ca_19907393.wav,117548,va deixar unes dues-centes composicions
common_voice_ca_21731772.wav,154688,la construcció es troba arrebossada i pintada de color blanc
common_voice_ca_20509454.wav,132908,era una comunitat agrària
common_voice_ca_20327783.wav,288044,aquest document és un dels més significatius dels nombrosos fons patrimonials que conserva l'arxiu
common_voice_ca_20172704.wav,209708,estudià als conservatoris de praga i munic i a les universitats de leipzig i viena
common_voice_ca_20293551.wav,144428,allotja un museu dedicat a mendel
common_voice_ca_20346249.wav,274988,acostuma a produir infeccions cutànies tot i que també ha estat aïllat en abscessos mamaris
common_voice_ca_21333550.wav,249644,colet és guia del castellet de perpinyà i agent del patrimoni de l'ajuntament d'aquesta ciutat
common_voice_ca_21723997.wav,193978,és una planta herbàcia que habita en prats eixuts garrigues i llocs rocosos
common_voice_ca_19519720.wav,222764,després d'independitzar-se els dos estats van decidir preservar el traçat fronterer colonial
common_voice_ca_21487223.wav,134444,també fou el primer gos de guerra dels estats units
common_voice_ca_23498484.wav,195884,amb aquesta dinastia s'inicia el regne antic
common_voice_ca_19995141.wav,115244,és molt a prop de la borda de figuera
common_voice_ca_19897555.wav,161324,actualment està regida pel papa francesc
common_voice_ca_20085285.wav,108332,torre campanar de planta quadrada
common_voice_ca_20560154.wav,134444,fou protegit de mecenes
common_voice_ca_20293522.wav,188972,l'usuari indicava condicions amb els botons del llapis i l'empenta de la llum
