wav_filename,wav_filesize,transcript
common_voice_ca_19897158.wav,165164,la seu es troba a lió
common_voice_ca_21893058.wav,152108,va ocupar el càrrec cap provincial del partit conservador
common_voice_ca_19907392.wav,217388,els boscos dels vessants de la muntanya estan formats principalment per alzines roures i castanyers
common_voice_ca_21893070.wav,131372,és coautora del tercer informe de valoració
common_voice_ca_19908335.wav,265004,el nom deriva d'un presumpte fundador del monestir fortificat el cavaller arnold
common_voice_ca_20172594.wav,188204,les petxines presenten escotadura o canal sifonal
common_voice_ca_20172615.wav,126764,esports amb maria josep benetó
common_voice_ca_19908351.wav,148268,la teulada és amb ràfec amb permòdols
common_voice_ca_19908348.wav,202028,l'altre conjunt d'edificacions són corrals amb planta baixa i planta baixa i pis
common_voice_ca_21348668.wav,290348,van formar part de la companyia agafes lírics dirigida per antonio mitjà
common_voice_ca_21348678.wav,255788,tenen tres pisos d'alçada la major part d'ells amb coberta a dues aigües o plana
common_voice_ca_21893061.wav,191276,el consell també estava molt preocupat per les denúncies d'abús sexual per cascos blaus
common_voice_ca_20346246.wav,291884,els censos de població parlen de molt pocs habitants en aquest territori
common_voice_ca_19895375.wav,213548,la seva escriptura es caracteritza per una inusual gran vocabulari amb notable puresa
common_voice_ca_19908350.wav,148268,a causa d'això el model fou un fracàs comercial
common_voice_ca_20346137.wav,207404,té una olor similar a la pera o l'albercoc
common_voice_ca_19560250.wav,165164,filipines i indonèsia també reivindicaven el territori
common_voice_ca_20172610.wav,198188,tenia una alta xemeneia de totxo a la banda de la gran via
common_voice_ca_19560251.wav,217388,no només en sales i cabarets sinó en els millors escenaris del món
common_voice_ca_20172687.wav,226604,ja als anys vint el futbol havia agafat força volada a la ciutat
common_voice_ca_20346242.wav,117548,no s'han fet canvis
common_voice_ca_21893072.wav,132908,a l'estiu prenen una coloració blanquinosa
common_voice_ca_21348681.wav,176684,prové de la lletra gamma de l'alfabet grec
common_voice_ca_20346243.wav,249644,també té un projecte de cooperació internacional a burkina faso
common_voice_ca_21893059.wav,177452,amb tot no se li va permetre tenir formalment un lloc reservat al consell
common_voice_ca_20172686.wav,188204,en la seva desesperació també vol unir-se a la mort dels seus
common_voice_ca_19895381.wav,171308,la sortida de so és a través d'un brunzidor a la màquina mateixa
common_voice_ca_19560627.wav,222764,així també el jubileu es va estendre a totes les diòcesis del món
common_voice_ca_20346140.wav,221228,el rebel va obtenir el suport de part de la noblesa
common_voice_ca_20172689.wav,203564,el fotòmetre també pot ser adaptat per utilitzar bateries sense mercuri
common_voice_ca_20172614.wav,138284,originari de les pampes d'amèrica del sud
common_voice_ca_21348680.wav,232748,la seva eliminació va ser el resultat d'un procés que va començar amb el poble
common_voice_ca_21893068.wav,168236,està dirigit pel ministeri de cultura de la república popular de la xina
common_voice_ca_19560624.wav,203564,va dominar fàcilment la situació i va governar durant bastants anys
common_voice_ca_19560651.wav,236588,l'última edició de la seva publicació es va editar l'endemà de la seva mort
common_voice_ca_19560649.wav,125228,un home tenia dos fills
common_voice_ca_20172688.wav,136748,mori durant unes vacances per amèrica
common_voice_ca_19907393.wav,117548,va deixar unes dues-centes composicions
common_voice_ca_20346141.wav,282668,l'indret comprèn onze edificis antics i espais paisatgístics històrics i actuals
common_voice_ca_20172587.wav,290348,per exemple no s'inclouen els tomàquets els cogombres i altres fruits que no són dolços
common_voice_ca_20172590.wav,263468,del primer matrimoni van tenir a l'hereu i del segon matrimoni no va haver-hi successió
common_voice_ca_20172592.wav,225068,els kurds i turcmans la consideren la seva capital cultural històrica
common_voice_ca_21348672.wav,232748,és a dir quan la seva altura és zero passant de negativa a positiva
common_voice_ca_19922923.wav,248108,el regne vàndal va mantenir un conflicte permanent amb l'imperi romà pel control del mediterrani
common_voice_ca_19907391.wav,186668,generalment les divises de l'armada es duen a les espatlles i als punys
common_voice_ca_21893060.wav,141356,el gust de la carn d'estruç s'assembla al de la vedella
common_voice_ca_20172690.wav,198188,la façana té una gran simetria trencada únicament pel balcó del primer pis
common_voice_ca_21893071.wav,188204,es tracta d'un abeurador d'animals de pedra que actualment juga una funció decorativa
common_voice_ca_20172612.wav,194348,té un clima dur i compta amb una estació meteorològica
common_voice_ca_21348671.wav,205868,la casa reig és de planta quadrada i ben proporcionada
common_voice_ca_20346245.wav,299564,aquesta festa se celebra tots els anys el diumenge anterior a sant antoni abat
common_voice_ca_19560252.wav,249644,un aspecte que ha tingut un paper significant en la cultura japonesa és l'idioma
common_voice_ca_20172704.wav,209708,estudià als conservatoris de praga i munic i a les universitats de leipzig i viena
common_voice_ca_19907394.wav,103724,l'alimentació depèn de l'hàbitat
common_voice_ca_20346138.wav,245804,porta en arc pla amb brancals i llinda de pedra
common_voice_ca_19907390.wav,167468,durant el seu govern va adoptar moltes polítiques diferents de les d'enric
common_voice_ca_19560248.wav,203564,té la particularitat de ser l'únic temple de l'illa orientat cap a l'oest
common_voice_ca_21348669.wav,188204,les palmes fan referència als patrons del poble
common_voice_ca_19908336.wav,153644,és certificat per estar en contacte amb aliments
common_voice_ca_20346249.wav,274988,acostuma a produir infeccions cutànies tot i que també ha estat aïllat en abscessos mamaris
common_voice_ca_19908332.wav,248108,de jove va estudiar literatura i jurisprudència i va practicar esports i alguna activitat militar
common_voice_ca_19560650.wav,222764,posteriorment dirigiria les operacions militars durant el setge d'oviedo
common_voice_ca_19560596.wav,267308,les proves s'acostumen a executar una sola vegada exceptuant els casos on es descobreixen defectes
common_voice_ca_21348679.wav,228908,les noves defenses no impedeixen que els portuguesos prenguessin la vila
common_voice_ca_20346139.wav,263468,juntament amb les idees han importat dins les seves pròpies llengües pròpies d'altres llengües
common_voice_ca_19908334.wav,230444,ha jugat des de jove en les categories inferiors de l'atlètic de madrid
common_voice_ca_20172702.wav,190508,les àrees agrícoles principals són al nord-est i al sud
common_voice_ca_19908349.wav,203564,adquirida pel marquès d'heredia a la seva mort es va dispersar
common_voice_ca_19560595.wav,307244,la construcció està bastida amb pedra de diverses mides desbastada i sense treballar disposada irregularment
common_voice_ca_20172589.wav,195884,la seva funció era de senyalització i defensiva
common_voice_ca_21348682.wav,159788,joan oró va néixer a la bordeta
common_voice_ca_20172701.wav,213548,a partir dels anys vuitanta es va reactivar el comerç cap a l'iran
common_voice_ca_20172705.wav,175148,les autoritats de zimbàbue varen dir que és lliure per visitar el país
common_voice_ca_20172616.wav,153644,no hi ha molts elements documentats sobre la seva vida
common_voice_ca_19908333.wav,198188,de nen va fer d'escolà a la parròquia de nostra senyora
common_voice_ca_21348670.wav,249644,passa l'hivern en hibernació i també estiven en els períodes més calorosos de l'estiu
