wav_filename,wav_filesize,transcript
common_voice_ca_19906401.wav,172844,treballà com a cap del servei de recaptació de la diputació de girona
common_voice_ca_20345811.wav,209708,va estudiar teologia a la seva ciutat natal però abandonà els estudis
common_voice_ca_20432871.wav,241964,d'ara endavant laos és reorganitzat sota la forma d'un estat centralitzat
common_voice_ca_19894786.wav,245804,a la rodalia i hi ha diverses restes antigues aquemènides partes i sassànides
common_voice_ca_21291019.wav,109868,realitzada amb pedra i morter
common_voice_ca_19906400.wav,153644,però un canvi en la situació política fa que s'aturi aquesta persecució
common_voice_ca_23392465.wav,144428,té un cos de mida mitjana allargat i pesat
common_voice_ca_20325572.wav,217388,començà els seus musicals de piano i solfeig amb roser busquets
common_voice_ca_20885576.wav,188204,en només sis mesos les forces de l'eix havien estat expulsades del nord d'àfrica
common_voice_ca_21291018.wav,125228,li ensenya música la seva mare
common_voice_ca_19894785.wav,178988,les demostracions públiques es van fer entre londres i nova york
common_voice_ca_20325571.wav,167468,als extrems s'hi situen dos túnels de pedra
common_voice_ca_21850950.wav,169004,a través del comte també va donar-se a conèixer a la cort de berlín
common_voice_ca_19421435.wav,211244,la localitat rep així mateix el nom donzell d'agramunt
common_voice_ca_20148026.wav,244268,no obstant això les dades químiques i espectroscòpics van demostrar que l'estructura era incorrecta
common_voice_ca_21723331.wav,132908,professà en la seva ciutat natal
common_voice_ca_19433811.wav,175148,la intel·ligència emocional està agafant un paper important en la nostra societat
common_voice_ca_20326289.wav,136748,molts saxons van ser batejats
common_voice_ca_20245453.wav,218924,d'aquest conjunt destaca una torre ampla de base quadrangular
common_voice_ca_23392462.wav,225068,els seus noms estan relacionats amb l'asterisme més destacat de cada sector respectiu
common_voice_ca_19100348.wav,194348,es proclamaran electes per a cada càrrec els candidats que obtinguin la majoria
common_voice_ca_19904796.wav,194348,hi ha boscos de diverses espècies d'eucaliptus
common_voice_ca_23392411.wav,136748,se n'han trobat fòssils a egipte
common_voice_ca_19941945.wav,248108,per al cas d'un sistema conservatiu l'energia potencial no depèn del temps
common_voice_ca_20148028.wav,172844,sovint els turistes són el blanc d'atacs als països musulmans
common_voice_ca_20345810.wav,206636,va estar sempre molt lligada a la seva germana dos anys més gran que ella
common_voice_ca_19373073.wav,178988,hom considera gabriel fauré com el mestre de la melodia francesa
common_voice_ca_19910248.wav,232748,la bandera és vertical de quatre colors verd blanc negre i vermell
common_voice_ca_20500017.wav,241964,la planta correspon sens dubte a l'etapa més primitiva la preromànica
common_voice_ca_20166686.wav,178988,durant l'època imperial van portar algun altre cognom
common_voice_ca_19375336.wav,238124,el límit de tolerància a la dessecació varia d'un organisme a un altre
common_voice_ca_20262237.wav,248108,de grups i companyies n'hi ha una gran diversitat i conreen tota mena d'estils
common_voice_ca_19905730.wav,230444,es fa servir sovint en la construcció en determinats climes
common_voice_ca_19758389.wav,262700,jaume i helena eren enemics que competien per la influència sobre joan
common_voice_ca_20499810.wav,318764,però nogués aconseguí trucar a les forces franceses properes evitant així ser la seva captura
common_voice_ca_19941844.wav,238124,al capdamunt s'alça un campanar d'espadanya de dues obertures
common_voice_ca_19421450.wav,203564,el consorci va caure pel que sembla per raons més polítiques que tècniques
common_voice_ca_20166682.wav,240428,els més habituals són el propà i el butà que s'usen com a combustibles fòssils
