wav_filename,wav_filesize,transcript
common_voice_ca_23784076.wav,272684,sobre les imatges de sant enric i el papa estan els seus respectius escuts
common_voice_ca_21327040.wav,161324,sembla que al principi eren bastant flexibles i s'adaptaven a la situació
common_voice_ca_19894463.wav,161324,els seus germans eren molós futur rei de l'epir i pèrgam
common_voice_ca_21772729.wav,159020,es tracta d'una espècie introduïda també a amèrica del nord
common_voice_ca_20502667.wav,240428,el temps mètric s'utilitza de vegades per anomenar el temps decimal
common_voice_ca_20502668.wav,251948,durant algun temps va ser docent en aquesta universitat
common_voice_ca_21327017.wav,217388,passa pel clot del morral i travessa després l'extrem oriental del bosc de la peguera
common_voice_ca_20326707.wav,144428,ciceró diu que va dirigir una escola de pintura
common_voice_ca_21327041.wav,178988,la primera guerra mundial va ser clau en la massificació del futbol femení a anglaterra
common_voice_ca_21292298.wav,122924,l'ordre d'enllaç és dos
common_voice_ca_21327037.wav,195884,abans d'entrar a la fase de pupes les larves formen una cambra ovalada
common_voice_ca_19894598.wav,199724,malgrat tot els observadors perceben una gran qualitat a les traduccions
common_voice_ca_23784091.wav,286508,a l'interior el portal forà dóna a un vestíbul cobert de volta de creueria
common_voice_ca_20581850.wav,238124,acabat el seu mandat va exercir durant sis mesos com a sotsgovernador del banc d'espanya
common_voice_ca_19894465.wav,172844,està diplomat en empresarials i actualment propietari d'una gestoria
common_voice_ca_23784079.wav,184364,és un dels elements bàsics de la geometria
common_voice_ca_23784089.wav,218924,introduí fragments concertants en les òperes còmiques
common_voice_ca_20326704.wav,136748,és endèmic del nord del pakistan
common_voice_ca_19895743.wav,265004,són imatges de façanes portalades i detalls arquitectònics que evidencien la riquesa monumental del país
common_voice_ca_23784094.wav,126764,treballà amb molt d'encert l'aiguafort
common_voice_ca_23784075.wav,182828,incorpora la veu
common_voice_ca_20326706.wav,192044,els seus nombrosos dibuixos estaven realitzats en llapis i carbonet
common_voice_ca_23784086.wav,286508,al mateix temps poden servir de particions i poden anar carregades amb mobles o figures
common_voice_ca_23784093.wav,261164,en situació de combat era capaç de superar a molts dels caces contemporanis
common_voice_ca_21772730.wav,254252,va ser professora d'oncologia i membre associat de física a la universitat de saskatchewan
common_voice_ca_21327021.wav,130604,també va escriure sobre diverses matèries teològiques
common_voice_ca_20326708.wav,157484,la tradició el considera un descendent dels gúrides
common_voice_ca_20581852.wav,145196,compta amb un museu sobre la mineria
common_voice_ca_19894602.wav,172844,la dimensió més llarga està orientada en adreça est-oest
common_voice_ca_21292238.wav,221228,alguns videojocs d'aventura ofereixen diverses ramificacions d'escenari
common_voice_ca_19894462.wav,94508,va morir a venècia
common_voice_ca_20502666.wav,236588,és normalment actiu en els mesos calorosos
common_voice_ca_19894461.wav,111404,es coneix molt poc de la seva vida
common_voice_ca_19894601.wav,84524,no tenen cap fill
common_voice_ca_21292236.wav,199724,l'antonomàsia és una forma particular de la metonímia
common_voice_ca_21292237.wav,178988,és un dels formatges més antics de les muntanyes dels alps
common_voice_ca_21292234.wav,253484,la coca és un producte artesanal típic de totes les comarques
common_voice_ca_21292303.wav,163628,això va esdevenir l'espurna per la guerra que venia
common_voice_ca_19895745.wav,230444,el consell supervisa les finances les decisions de negocis impostos i contractes
common_voice_ca_20502669.wav,284204,es dedica a la fotografia documental i editorial i a la docència
common_voice_ca_23784088.wav,234284,hi ha molts equips de futbol amateur i semiprofessionals
common_voice_ca_21327020.wav,194348,el representant internacional és escollit per vot postal abans de la conferència internacional
common_voice_ca_21292302.wav,169004,també cal remarcar que ha estat un prolífic escriptor
common_voice_ca_20326702.wav,234284,a més a més cap tret lingüístic no permet datar la redacció abans d'aquest segle
common_voice_ca_23784090.wav,244268,és un dels màxims exponents de la guitarra catalana que la guerra va estroncar
common_voice_ca_19894460.wav,172844,les relíquies són avui a una capella de la catedral de saint-lazare d'autun
common_voice_ca_20581849.wav,155948,el partit va formar part del govern de coalició
common_voice_ca_21292296.wav,249644,artistes importats des d'itàlia o formats allà fan el paper d'autèntics transmissors
common_voice_ca_21292301.wav,207404,sobre els murs s'estén el voladís construït amb pedres més planes
common_voice_ca_19895744.wav,209708,com l'última lletra de l'alfabet hebreu comprèn també el significat de final o totalitat
common_voice_ca_23784077.wav,238124,el complex revela el luxe en què van viure els sultans
common_voice_ca_21327039.wav,152108,després de graduar-se a l'acadèmia va estudiar a la lliga d'estudiants d'art
common_voice_ca_21327019.wav,149804,més tard esdevingué un substantiu referit a un lloc on es posen coses
common_voice_ca_20502665.wav,321068,la major part tenen un color predominantment verd encara que alguns són grocs o taronja
common_voice_ca_20581851.wav,160556,la majoria d'ells s'assemblaven als lèmurs d'avui en dia
common_voice_ca_21327038.wav,199724,la barbotina pot emprar-se com a engalba però en general no a la inversa
common_voice_ca_23784078.wav,294188,des de llavors batman ha esdevingut un dels superherois més reconeguts al món
common_voice_ca_19895740.wav,202028,va ser també el títol dels monarques de tunis
common_voice_ca_21292235.wav,195884,la seva presència als països catalans és extremadament rara
common_voice_ca_23784087.wav,291884,a banda i banda d'aquestes presenta finestra amb la mateixa decoració que al pis inferior
common_voice_ca_23784085.wav,255788,rosa va procurar que aquest pont cultural funcionés amb la màxima eficiència
common_voice_ca_23784092.wav,265004,el primer acte del nou pare va ser emancipar al seu fill
common_voice_ca_19894600.wav,161324,en l'actualitat compta amb un carrer en un barri nou de la seva ciutat
common_voice_ca_21792940.wav,245804,la construcció és allargada i irregular
common_voice_ca_21327018.wav,132908,gaudeix treballant en col·laboració i donant classes a la universitat
