wav_filename,wav_filesize,transcript
common_voice_ca_19913563.wav,265004,els sobrevivents també van començar a escriure la seva història en nàhuatl i en castellà
common_voice_ca_20361518.wav,244268,tant les finestres com la porta són recorregudes a la part superior per un guardapols
common_voice_ca_20577259.wav,238124,darrere el presbiteri hi ha la sagristia construïda sota el campanar
common_voice_ca_19910893.wav,251948,era per tant en un origen una baronia de l'alta ribagorça
common_voice_ca_20577255.wav,207404,la seva família paterna és originària de guinea equatorial
common_voice_ca_19897646.wav,176684,tenen diferents tipus de metabolisme
common_voice_ca_23791178.wav,228908,ella després va tornar a utilitzar el seu nom de naixement
common_voice_ca_19524407.wav,215084,va compondre música simfònica coral i de cambra
common_voice_ca_23791176.wav,311084,alguns exemples inclouen els aminoàcids molts metabòlits pèptids i proteïnes
common_voice_ca_20361519.wav,232748,després de l'esclat de la guerra civil es va mantenir fidel a la república
common_voice_ca_19453497.wav,256556,va reconèixer que el fracàs havia estat degut parcialment a la seua situació personal
common_voice_ca_19913564.wav,222764,és un mineral incolor amb ratlla blanquinosa a crema
common_voice_ca_20154214.wav,176684,era una caravel·la nòrdica de veles quadrades amb un velam molt senzill
common_voice_ca_19897652.wav,246572,no foren expedicions amb un objectiu de conquesta o colonització sinó d'abastiment
common_voice_ca_20171383.wav,259628,es tracta d'una cova natural amb restes de l'edat del bronze sense estructures d'habitacions
common_voice_ca_21262019.wav,214316,la majoria vasta de les seves pintures presenten aristòcrates i noblesa a europa
common_voice_ca_19914031.wav,169004,al cantó nord-est hi ha una replaça amb una estàtua i un banc circular
common_voice_ca_19913565.wav,288044,al sud discorre el riu palància de certa riquesa piscícola en aquest encara curs alt
common_voice_ca_23791138.wav,165164,un exemple d'això ho trobem a la població de sardenya
common_voice_ca_19910892.wav,225068,la influència de sofia en la política fou importantíssima
common_voice_ca_20293397.wav,236588,aquesta disciplina sovint es troba amb problemes ètics morals i legals
common_voice_ca_20293395.wav,328748,això converteix aquest planeta en el del sistema solar amb més llunes d'òrbites raonablement estables
common_voice_ca_20499532.wav,226604,a les parts lliures de gel la vegetació és de tipus desèrtic o de tundra
common_voice_ca_23791180.wav,294188,deu el seu nom al científic escocès sir david brewster
common_voice_ca_19524406.wav,202028,actualment hi ha diverses sales ja que es tracta d'un museu pluridisciplinari
common_voice_ca_21299501.wav,205868,duien molt poca roba i no en sabien gaire de les tècniques tèxtils dels veïns
common_voice_ca_23791136.wav,330284,en l'actualitat l'organisme oficial que continua les seves funcions és la secretaria d'estat de seguretat
common_voice_ca_23791152.wav,236588,aquests pins són inserits en forats a la targeta de circuit imprès
common_voice_ca_23791140.wav,249644,també a la xina i l'índia es feren treballs artístics en vori
common_voice_ca_23791151.wav,230444,en canvi sí que va ser vocal del control de finances del partit
common_voice_ca_19894675.wav,248108,l'arc carrega en columnes cilíndriques amb capitells esculturats amb motius geomètrics
common_voice_ca_20712990.wav,188204,es pot pujar a les terrasses per unes escales
common_voice_ca_21299500.wav,199724,les capelles de planta quadrada tenen obertures als costats contigus
common_voice_ca_20734986.wav,198188,va obtenir el títol de mestre a l'edat de dinou anys
common_voice_ca_20293396.wav,207404,era navegable per bots i vaixells mitjans
