wav_filename,wav_filesize,transcript
common_voice_ca_20172594.wav,188204,les petxines presenten escotadura o canal sifonal
common_voice_ca_20573637.wav,180524,havia nascut l'emmanuel tot i que aleshores encara no amb aquest nom
common_voice_ca_19907831.wav,176684,es troba des de les costes de corea fins a les de filipines
common_voice_ca_21733405.wav,165164,aconseguint un millor aprofitament de l'espectre
common_voice_ca_19453497.wav,256556,va reconèixer que el fracàs havia estat degut parcialment a la seua situació personal
common_voice_ca_20209663.wav,169004,el sentit dreta esquerra amunt i avall
common_voice_ca_19907794.wav,88364,i arribà la fama
common_voice_ca_19498759.wav,178220,la seva mort va ser atribuïda a una embòlia pulmonar
common_voice_ca_23392465.wav,144428,té un cos de mida mitjana allargat i pesat
common_voice_ca_19909600.wav,226604,l'acidesa del sòl és per tant el resultat de la hidròlisi d'alumini
common_voice_ca_20560152.wav,161324,el príncep i els seus consellers han de treballar per aquest fi
common_voice_ca_19903577.wav,215084,nat a venècia va traslladar-se a roma quan ja havia complert els vint anys
common_voice_ca_19912968.wav,178988,ella i el seu marit van tenir nou fills
common_voice_ca_19421435.wav,211244,la localitat rep així mateix el nom donzell d'agramunt
common_voice_ca_19895093.wav,255788,quan el diafragma es relaxa l'aire és expirat per la mateixa elasticitat dels teixits pulmonars
common_voice_ca_21300481.wav,241964,just al costat hi ha el palauet d'aiora i els seus jardins que cobreixen l'estació
common_voice_ca_20172029.wav,253484,el seu pare miner de fons va ser un alcohòlic que més tard acabaria suïcidant-se
common_voice_ca_19908846.wav,134444,allà treballen més de mil persones
common_voice_ca_19524406.wav,202028,actualment hi ha diverses sales ja que es tracta d'un museu pluridisciplinari
common_voice_ca_20221782.wav,144428,és el club dels militars
common_voice_ca_19894241.wav,202796,els nois sortien en processó i demanaven almoina a tothom que trobessin en aquests llocs
common_voice_ca_21348621.wav,195884,en aquest context la recollida del testimoni oral ha pres importància
common_voice_ca_19519719.wav,155948,aquests en són els primers castlans coneguts
common_voice_ca_19894009.wav,291884,l'objectiu de l'experiència és provar una nova droga que permetria eliminar l'agressivitat dels delinqüents
common_voice_ca_20245453.wav,218924,d'aquest conjunt destaca una torre ampla de base quadrangular
common_voice_ca_23392462.wav,225068,els seus noms estan relacionats amb l'asterisme més destacat de cada sector respectiu
common_voice_ca_19895275.wav,245804,viu a les muntanyes de bolívia colòmbia l'equador el perú i veneçuela
common_voice_ca_20221785.wav,145964,unes rajoles de la casa ens recorden la seva vida
common_voice_ca_19100348.wav,194348,es proclamaran electes per a cada càrrec els candidats que obtinguin la majoria
common_voice_ca_19907790.wav,130604,l'interior és una sola nau de planta rectangular
common_voice_ca_19896713.wav,245804,les hormones pertanyen al grup dels missatgers químics que inclou també als neurotransmissors
common_voice_ca_20172008.wav,172844,com que tenia el mar a la vora hi anava i recollia petxines i roques
common_voice_ca_23392411.wav,136748,se n'han trobat fòssils a egipte
common_voice_ca_19941945.wav,248108,per al cas d'un sistema conservatiu l'energia potencial no depèn del temps
common_voice_ca_19911336.wav,299564,va tenir variades versions com una exposició assemblea recollida de signatures festes reivindicatives
common_voice_ca_20324515.wav,175148,egipte va tenir durant molt de temps llaços amb líbia
common_voice_ca_20209660.wav,217388,el seu hàbitat natural són els palmerars
common_voice_ca_20500017.wav,241964,la planta correspon sens dubte a l'etapa més primitiva la preromànica
common_voice_ca_17484826.wav,145964,l'empresa elaborarà un calendari de guàrdies amb una antelació mínima de dos mesos
common_voice_ca_19930309.wav,144428,la majoria habiten en aigües dolces però també n'hi ha d'aigües marines
common_voice_ca_20561022.wav,155948,quan existia un conflicte la llei de roma s'imposava
common_voice_ca_20166686.wav,178988,durant l'època imperial van portar algun altre cognom
common_voice_ca_20561124.wav,136748,la revolta va augmentar contínuament tot el febrer
common_voice_ca_19908350.wav,148268,a causa d'això el model fou un fracàs comercial
common_voice_ca_20324117.wav,175148,es distribueix a l'oest d'europa
common_voice_ca_20327019.wav,248108,a més del futbol practicà l'atletisme el ciclisme i el joc de pilota
common_voice_ca_19897023.wav,148268,va ser promogut a major general
common_voice_ca_19905534.wav,201260,la façana presenta dos eixos verticals d'obertures d'alçades decreixents
common_voice_ca_20325680.wav,186668,ara en canvi només produeix continguts del cor
common_voice_ca_19375336.wav,238124,el límit de tolerància a la dessecació varia d'un organisme a un altre
common_voice_ca_21852461.wav,192044,l'interior posseeix obres d'art de gran interès
common_voice_ca_20499810.wav,318764,però nogués aconseguí trucar a les forces franceses properes evitant així ser la seva captura
common_voice_ca_19941844.wav,238124,al capdamunt s'alça un campanar d'espadanya de dues obertures
common_voice_ca_20172587.wav,290348,per exemple no s'inclouen els tomàquets els cogombres i altres fruits que no són dolços
common_voice_ca_19895090.wav,161324,en la part superior del jardí hi ha una àrea infantil
common_voice_ca_19896703.wav,176684,tot això indica un alt grau d'evolució de la medicina
common_voice_ca_19896715.wav,148268,la seua periodicitat és mensual
common_voice_ca_20561100.wav,215084,el govern es va recolzar en aquesta nova moneda de valor fix finalment acceptada
common_voice_ca_20172690.wav,198188,la façana té una gran simetria trencada únicament pel balcó del primer pis
common_voice_ca_19421450.wav,203564,el consorci va caure pel que sembla per raons més polítiques que tècniques
common_voice_ca_20166682.wav,240428,els més habituals són el propà i el butà que s'usen com a combustibles fòssils
common_voice_ca_19907787.wav,238124,l'edifici s'adapta al desnivell del terreny enlairant-se sobre el riu de rialb
common_voice_ca_20561122.wav,184364,no obstant això ja estava buida quan el lladre va arribar-hi
common_voice_ca_19876169.wav,199724,la porta de doble fulla és de fusta ferrada amb volutes senzilles
common_voice_ca_21212498.wav,94508,té la seva seu en barcelona
common_voice_ca_21290626.wav,217388,migra verticalment durant la nit per a menjar peixos calamars i eufausiacis
common_voice_ca_21733459.wav,245804,durant la primera fase cada divisió estarà dividida en quatre grups
common_voice_ca_21264185.wav,136748,aquest el va fer el seu instrument en totes les crueltats
common_voice_ca_20419867.wav,265004,és una església renaixentista amb volta gòtica i façana barroca d'una nau i capelles laterals
common_voice_ca_19519599.wav,249644,conserva documentació de diferents organismes de l'administració
common_voice_ca_19895744.wav,209708,com l'última lletra de l'alfabet hebreu comprèn també el significat de final o totalitat
common_voice_ca_21255271.wav,140588,hi ha varietats de flor groga
common_voice_ca_21852109.wav,236588,tot just hi ha dues hectàrees d'albercoquers fora de la vinya
common_voice_ca_20338583.wav,176684,és la ciutat més poblada del districte
common_voice_ca_19418556.wav,145964,tanmateix sembla que ho havia estat
common_voice_ca_19907874.wav,99884,no va presentar apel·lació
common_voice_ca_21889283.wav,205868,aquesta cronologia presenta moltes dades sobre les espases i només algunes sobre l'ofici
common_voice_ca_21212433.wav,213548,en la presa de possessió jurava en privat conformement a la seva religió musulmana
common_voice_ca_21212502.wav,157484,després s'hi afegia el midó mentre se li feia bullir cinc minuts
common_voice_ca_19375335.wav,290348,la despolarització és una disminució del valor absolut del potencial de membrana en una neurona
common_voice_ca_17529174.wav,182828,la concurrència augmentava d'ençà que havia desaparegut l'espectre malalt i inflat de canyamel
common_voice_ca_20328730.wav,211244,en retirar-se passà a treballar com a actuari de la junta de pensions d'estocolm
common_voice_ca_20325682.wav,153644,el realitza una persona de forma manual
common_voice_ca_20172027.wav,207404,vegeu la llista dels topònims de santa llúcia de mur presents a la viquipèdia
common_voice_ca_20573639.wav,165164,un tipus de dades escalar és el tipus d'una variable escalar
common_voice_ca_19907876.wav,194348,estudia a la universitat gregoriana de roma i es doctora en dret canònic
common_voice_ca_19895375.wav,213548,la seva escriptura es caracteritza per una inusual gran vocabulari amb notable puresa
common_voice_ca_21889280.wav,159788,es desconeix la data exacta d'execució d'aquesta escultura
common_voice_ca_19909566.wav,213548,el compositor no va tenir més remei que anar-hi
common_voice_ca_20172687.wav,226604,ja als anys vint el futbol havia agafat força volada a la ciutat
common_voice_ca_20166865.wav,198188,als baixos les finestres tenen reixes de forja a les dues façanes
common_voice_ca_21723367.wav,203564,brancatge abundant el que el converteix en un excel·lent arbre d'ombra per a passeigs
common_voice_ca_20852387.wav,164396,va estudiar a l'escola catedralícia de gniezno i a parís
common_voice_ca_19895255.wav,217388,per a ingressar-hi cal provar la noblesa i armories dels quatre primers cognoms
common_voice_ca_19895471.wav,249644,finalment a inicis de gener es dissol el comitè executiu popular de valència
common_voice_ca_19907792.wav,157484,els catàlegs antics diuen que esteve era d'origen romà fill de joví
common_voice_ca_20499529.wav,195884,metge municipal a una confraria de pescadors
common_voice_ca_20187488.wav,209708,només l'educació primària és gratuïta a atakora
common_voice_ca_21852323.wav,211244,aquestes armes podien ser elevades independentment
