wav_filename,wav_filesize,transcript
common_voice_ca_20328732.wav,192044,durant els mesos menys càlids les precipitacions cauen en forma de neu
common_voice_ca_21291019.wav,109868,realitzada amb pedra i morter
common_voice_ca_21261401.wav,280364,tots els altres intents van fracassar a causa de la mala resolució dels detectors disponibles
common_voice_ca_20328816.wav,261164,es distingeix per la roca de la part inferior dreta on reposa l'anyell
common_voice_ca_20085288.wav,129068,la història es convertí en la base per a la marató moderna
common_voice_ca_21261660.wav,171308,a més fou considerat un poderós amulet
common_voice_ca_21739542.wav,139820,emparentà d'aquesta manera amb la casa reial
common_voice_ca_19895703.wav,161324,fou internacional amb la selecció xilena de futbol
common_voice_ca_21291020.wav,211244,es troba a sud-amèrica conca central i occidental del riu amazones
common_voice_ca_19923003.wav,213548,el comandament de bombarders encara es veié més reduït després de la declaració de guerra
common_voice_ca_20328814.wav,218924,al japó és una verdura de primavera i sol consumir-se al vapor
common_voice_ca_21739539.wav,218156,el sistema estalviava la utilització de complexos processos d'impressió òfset
common_voice_ca_21291018.wav,125228,li ensenya música la seva mare
common_voice_ca_20085453.wav,169772,a més diu explícitament que la carta mana sobre tots els altres tractats
common_voice_ca_20328839.wav,167468,es conserva a l'arxiu comarcal del bages
common_voice_ca_21261399.wav,288044,està associada generalment a la placa sud-americana i està constituïda únicament de litosfera continental
common_voice_ca_19895675.wav,155948,el recíproc no és cert en general
common_voice_ca_21739537.wav,248108,el barcelona conquerí el tercer títol consecutiu sisè en el seu palmarès
common_voice_ca_19463043.wav,252716,les conclusions van ser que en l'àrea hi havia restes de tres èpoques ben definides
common_voice_ca_19559208.wav,192812,el pare de mirra es va suïcidar a causa de la vergonya de l'incest
common_voice_ca_19895702.wav,140588,està formada per tres batallons
common_voice_ca_19897466.wav,165164,aquesta senzilla observació algebraica condueix a l'algorisme següent
common_voice_ca_19905734.wav,212012,el mas està delimitat entre el carrer besalú i l'avinguda olot
common_voice_ca_19559207.wav,164396,el transport funciona amb un bon sistema d'autobusos
common_voice_ca_19897467.wav,140588,es tracta d'un animal arborícola de costums nocturns
common_voice_ca_19910248.wav,232748,la bandera és vertical de quatre colors verd blanc negre i vermell
common_voice_ca_19895664.wav,222764,generalment són filades per a fer-ne estores o cordes
common_voice_ca_21261664.wav,215084,serà la seva única participació en aquest campionat durant aquesta temporada
common_voice_ca_19905075.wav,249644,l'edifici acaba amb una senzilla cornisa que marca l'amplada dels dos cóssos de la finca
common_voice_ca_21723996.wav,146330,es va endinsar entre les onades i s'allunyà de la platja
common_voice_ca_21739541.wav,142892,en el seu regnat es va crear la biblioteca de palau
