wav_filename,wav_filesize,transcript
cam_06705_00965380421.wav,0,no hi ha cap problema amb utilitzar els serveis de gerebit
cam_08935_01786979677.wav,0,la seat de martorell necessita més treballadors qualificats
cam_08967_01421517524.wav,0,encara recordo la cançoneta de l'anunci de freixenet de quan érem petits
cam_06279_01547145967.wav,0,van anar a camprodon a veure la fàbrica de galetes però no es van parar a fer una foto al pont
cam_04910_01159743965.wav,0,el seu número es recorda millor en tres blocs de tres xifres és el vuit-cents setanta-dos nou-cents setanta-cinc zero zero zero
cam_04910_00431791014.wav,0,el castell de sant martí sarroca està dalt d'un turó
cam_07140_01901419013.wav,0,l'autor de la novel·la el domador de puces és francesc valls-calzada
cam_08664_01496553859.wav,0,josé zaragoza té un parlar molt agressiu
cam_00762_01195797081.wav,0,la xarxa de carreteres està controlada per infraestructures viàries de catalunya
cam_07140_00281087812.wav,0,sempre m'ha agradat el to folklòric dels corrs
cam_06582_01886520024.wav,0,rosa maria graupera escrivia novel·les roses però també cròniques de guerra
cam_04484_00416637456.wav,0,no hi ha cap problema amb intermes nets des de l'inici de la crisi
cam_08935_00481209806.wav,0,tinc ganes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga
cam_04787_01536917998.wav,0,el logo de grup indonèsia és un monstre que sembla un pokémon
cam_02689_02105283723.wav,0,els vesits de mango em queden bé
cam_02992_00343622788.wav,0,les maquinària que ven girbau està orientada a la neteja industrial
cam_06279_01736119352.wav,0,en van publicar un article a la vanguardia però no sé si és gaire fiable
cam_03115_00060567600.wav,0,el conseller ausàs anava a les reunions al palau de la generalitat
cam_07140_00638203382.wav,0,mandy moore no és una noia com cal
cam_03386_00809980701.wav,0,del brasil han sortit algunes de les més grans models dels nostres temps com ara alessandra ambrosio
cam_02689_00573607082.wav,0,a mataró hi viu molta gent de gàmbia i no en sé el perquè
cam_06705_01962369837.wav,0,va ser un eminent geògraf català del segle divuit plenament integrat a l'espanya guanyadora dels borbons
cam_06705_01740832451.wav,0,les accions de carburants axoil han pujat més d'un cinquanta per cent
cam_03115_01598892327.wav,0,josé corbacho a vegades es fa molt pesat
cam_08967_00651805032.wav,0,un altre dels reusencs notables va ser el geògraf historiador i escriptor josep iglésies i fort
cam_06582_01441333027.wav,0,els productes de johnson controls eurosit es distribueixen des de tarragona
cam_06705_01973373571.wav,0,a polinyà hi vaig treballar quan tenia divuit anys
cam_08935_00780612722.wav,0,si a l'escorxador frigorífic d'osona hi maten bestiar no m'hi trobareu pas perquè no m'agraden els escorxadors
cam_04484_01901967713.wav,0,vint-i dos cara de gos
cam_02689_01304071204.wav,0,el vol cap a colòmbia feia escala a amsterdam
cam_00762_01755684641.wav,0,la campanya de micromecenatge espera recollir més de set mil euros
cam_03386_00199994363.wav,0,fernando alonso té el coll molt gruixut perquè està molt fort
cam_00459_01976101592.wav,0,el més conegut d'islàndia és el bacallà els volcans i l'equip nacional de futbol
cam_06279_00236303122.wav,0,la pedra gentil és una estructura del municipi de vallgorguina
cam_03386_01957675392.wav,0,penélope cruz és la parella de javier bardem
cam_04484_01622288592.wav,0,hi ha hagut un incendi a lliçà d'amunt
cam_04484_01081254941.wav,0,m'agradaven tant les xocolatines milka que sempre en tenia una bona reserva guardada a la nevera
cam_00762_01326535170.wav,0,necessito un cub d'avecrem per fer-me el dinar
cam_08935_00390067645.wav,0,vam fer un projecte de petroquímica amb repsol l'any passat
cam_03386_01287111611.wav,0,el big bang és el model cosmològic de l'univers que considera que aquest s'ha expandit
cam_06279_01307398413.wav,0,montserrat enfilem-nos al teulat i tastem si el vi de l'any ha sortit bo
cam_08967_00221215400.wav,0,un dels temes de treball djoan ruiz i carbonell ha estat el dels discapacitats
cam_00459_01578390631.wav,0,el diari de javier godó és el més llegit de catalunya
cam_02992_01624881549.wav,0,l'únic que sé d'els amics de les arts és que es tracta d'un grup de músics joves
cam_08664_02002892736.wav,0,a barcelona tothom beu cervesa damm però a valència és més popular la mahou
cam_03115_01829339115.wav,0,facebook és la xarxa social més famosa del món
cam_00459_00160813708.wav,0,la torre agbar enlluerna tota la ciutat quan es fa de nit
cam_04910_00004101997.wav,0,diuen que com el vallès no hi ha res però l'oriental o l'occidental
cam_08664_00602686824.wav,0,em sembla que la denise maestre està cridada a tenir un gran futur
cam_04787_00531347264.wav,0,sant quirze del vallès és a prop de sabadell
cam_06705_01409008011.wav,0,el poeta reusenc del dinou joaquim bartrina va escriure en català i castellà temes existencials impregnats de romanticisme
cam_08664_01662320089.wav,0,cesc fàbregas no era tan bo com tothom es pensava
cam_00459_00453522588.wav,0,el diumenge s'esperen forts xàfecs pels voltants de riudarenes
cam_00762_01650781697.wav,0,a barcelona hi viuen més d'un milió de persones
cam_08664_01583725436.wav,0,saps si bristol és a anglaterra o als estats units
cam_04787_00983967597.wav,0,aquest web només accepta targetes mastercard
cam_06582_00764639024.wav,0,hi ha una visita preparada per anar a veure les vinyes de comte de caralt
cam_00762_00456165791.wav,0,repsol va tenir una crisi fa uns quants anys
cam_02689_01046063374.wav,0,els nous pantalons de nike són prou bons per córrer
cam_03386_00103461479.wav,0,a sant julià de vilatorta encara es canten les tradicionals caramelles
cam_08967_01325020888.wav,0,kia motors ha millorat molt la qualitat dels seus cotxes
