wav_filename,wav_filesize,transcript
common_voice_ca_20172594.wav,188204,les petxines presenten escotadura o canal sifonal
common_voice_ca_19906136.wav,198188,formulà el concepte d'espai català de comunicació
common_voice_ca_21327017.wav,217388,passa pel clot del morral i travessa després l'extrem oriental del bosc de la peguera
common_voice_ca_20573637.wav,180524,havia nascut l'emmanuel tot i que aleshores encara no amb aquest nom
common_voice_ca_20327091.wav,330284,no s'ha de confondre amb el també músic israelià contrabaixista del mateix nom
common_voice_ca_19912887.wav,218924,durant una gran part de l'edat mitjana va ser membre de la lliga hanseàtica
common_voice_ca_21261401.wav,280364,tots els altres intents van fracassar a causa de la mala resolució dels detectors disponibles
common_voice_ca_20508347.wav,215084,just en aquest lloc se'n desvia cap al nord-est la pista de la plana
common_voice_ca_20567420.wav,325676,un altre exemple d'aplicació de l'osmosi inversa és un procediment industrial eficaç de descontaminació d'aigües
common_voice_ca_21261660.wav,171308,a més fou considerat un poderós amulet
common_voice_ca_19498759.wav,178220,la seva mort va ser atribuïda a una embòlia pulmonar
common_voice_ca_19907893.wav,175148,va viatjar a antioquia on va imposar el poder de bizanci
common_voice_ca_19560624.wav,203564,va dominar fàcilment la situació i va governar durant bastants anys
common_voice_ca_21252338.wav,250412,en el vi el sabor i la persistència del regust es tenen particularment en compte
common_voice_ca_20580654.wav,192044,evidentment com més lluny està més interfereix
common_voice_ca_19805525.wav,241964,russell va néixer en una família de les altes esferes de l'aristocràcia britànica
common_voice_ca_19912968.wav,178988,ella i el seu marit van tenir nou fills
common_voice_ca_20408110.wav,238124,el poema sembla haver estat popular pels acudits i endevinalles pronunciats al banquet
common_voice_ca_20508515.wav,219692,cal destacar que a la seua rodalia existeixen unes coves prehistòriques
common_voice_ca_20086486.wav,163628,és a prop del límit del terme municipal
common_voice_ca_21252336.wav,239660,un polígon que no és simple s'anomena polígon complex
common_voice_ca_19895093.wav,255788,quan el diafragma es relaxa l'aire és expirat per la mateixa elasticitat dels teixits pulmonars
common_voice_ca_21300481.wav,241964,just al costat hi ha el palauet d'aiora i els seus jardins que cobreixen l'estació
common_voice_ca_19908846.wav,134444,allà treballen més de mil persones
common_voice_ca_19591674.wav,286508,els primers xips tenien menys de cent transistors i s'anomenaven circuits d'integració a petita escala
common_voice_ca_20221782.wav,144428,és el club dels militars
common_voice_ca_19691353.wav,115244,els llegums són prims
common_voice_ca_21292302.wav,169004,també cal remarcar que ha estat un prolífic escriptor
common_voice_ca_19894241.wav,202796,els nois sortien en processó i demanaven almoina a tothom que trobessin en aquests llocs
common_voice_ca_20327120.wav,244268,la turbulència pot trencar l'estratificació que crea capes mixtes d'aigua
common_voice_ca_19560596.wav,267308,les proves s'acostumen a executar una sola vegada exceptuant els casos on es descobreixen defectes
common_voice_ca_19911437.wav,165164,a partir d'aquí hi va haver una gran repressió sobre els grups opositors
common_voice_ca_19894009.wav,291884,l'objectiu de l'experiència és provar una nova droga que permetria eliminar l'agressivitat dels delinqüents
common_voice_ca_19906142.wav,271148,per construir els glacis de ponent arrasà la vila vella de cotlliure església inclosa
common_voice_ca_20243593.wav,167468,en la part central la porta d'entrada d'arc apuntat
common_voice_ca_19906130.wav,188204,és un edifici cantoner de tres plantes i vessant a façana
common_voice_ca_21226601.wav,187436,actualment es conserva a la biblioteca reial de torí
common_voice_ca_20221785.wav,145964,unes rajoles de la casa ens recorden la seva vida
common_voice_ca_19906300.wav,172844,s'utilitza tant amb el camp llis com amb l'afegit d'algun emblema
common_voice_ca_19906131.wav,244268,és així com l'automòbil fins llavors considerat un luxe s'imposa com a vector del desenvolupament
common_voice_ca_21273226.wav,175148,el partit finalitzà amb empat a zero i es decidí als penals
common_voice_ca_19896713.wav,245804,les hormones pertanyen al grup dels missatgers químics que inclou també als neurotransmissors
common_voice_ca_20567412.wav,169772,també era senyor del castell de la guàrdia de montserrat
common_voice_ca_19911336.wav,299564,va tenir variades versions com una exposició assemblea recollida de signatures festes reivindicatives
common_voice_ca_21188863.wav,202796,pel mateix preu l'editor oferia una tapa de cuir amb tela de lli
common_voice_ca_21327041.wav,178988,la primera guerra mundial va ser clau en la massificació del futbol femení a anglaterra
common_voice_ca_20165348.wav,159788,de resultes de l'accident quedà paraplègica
common_voice_ca_20508326.wav,234284,el tipus estel·lar determina en gran manera les condicions presents en un sistema
common_voice_ca_19897383.wav,142124,és l'única que de moment no s'ha emès a catalunya
common_voice_ca_20324117.wav,175148,es distribueix a l'oest d'europa
common_voice_ca_20327019.wav,248108,a més del futbol practicà l'atletisme el ciclisme i el joc de pilota
common_voice_ca_19908350.wav,148268,a causa d'això el model fou un fracàs comercial
common_voice_ca_20170672.wav,232748,consta només de planta amb molt poca alçada i un pis
common_voice_ca_19905534.wav,201260,la façana presenta dos eixos verticals d'obertures d'alçades decreixents
common_voice_ca_20424159.wav,161324,el principal benefactor va ser miquel el valent príncep de valàquia
common_voice_ca_19911454.wav,125228,durant aquesta estada a pamplona l'hereu va caure malalt
common_voice_ca_19906301.wav,140588,és l'àlbum de la banda que més còpies ha venut
common_voice_ca_20408138.wav,169004,el pressupost és una tècnica en si mateixa
common_voice_ca_20243596.wav,180524,s'administra per via oral o per injecció intravenosa
common_voice_ca_21852461.wav,192044,l'interior posseeix obres d'art de gran interès
common_voice_ca_21273225.wav,157484,per un temps els jueus d'aragó tenien l'àrab com llengua de cultura
common_voice_ca_19903505.wav,213548,l'estructura metàl·lica de les baranes li dóna un aire de solidesa amb formes geomètriques
common_voice_ca_20137028.wav,255788,era una dona de classe social alta anglesa d'estil icònic escriptora i activista
common_voice_ca_20172587.wav,290348,per exemple no s'inclouen els tomàquets els cogombres i altres fruits que no són dolços
common_voice_ca_19895640.wav,249644,a la melodia hi predominen quartes i segones
common_voice_ca_21188864.wav,251180,va arribar a ser també conegut per als seus artistes de l'esteatita
common_voice_ca_19895090.wav,161324,en la part superior del jardí hi ha una àrea infantil
common_voice_ca_19560252.wav,249644,un aspecte que ha tingut un paper significant en la cultura japonesa és l'idioma
common_voice_ca_19896703.wav,176684,tot això indica un alt grau d'evolució de la medicina
common_voice_ca_19896715.wav,148268,la seua periodicitat és mensual
common_voice_ca_19805518.wav,201260,quan s'inicià la guerra del francès es va mostrar absolutament en contra dels invasors
common_voice_ca_20170514.wav,237356,estan treballant a documentar-se per a obtenir el reconeixement federal
common_voice_ca_20165351.wav,218924,els coixins de seguretat poden causar ferides o la mort dels ocupants del vehicle
common_voice_ca_20419867.wav,265004,és una església renaixentista amb volta gòtica i façana barroca d'una nau i capelles laterals
common_voice_ca_20327118.wav,268844,a l'alliberament és designat president de la delegació municipal però rebutja la plaça d'alcalde
common_voice_ca_19897048.wav,245804,es conserva una de les voltes d'arc rebaixat per on l'aigua entrava a la construcció
common_voice_ca_20567409.wav,287276,d'aquesta manera els submarins alemanys podien atacar als vaixells italians sense ocultar la seva identitat
common_voice_ca_19900132.wav,251948,és llicenciat en farmàcia i màster en màrqueting farmacèutic per la universitat de barcelona
common_voice_ca_20338583.wav,176684,és la ciutat més poblada del districte
common_voice_ca_21669669.wav,263468,així fontilles desenvolupa projectes de cooperació en països d'amèrica àsia i àfrica
common_voice_ca_21261400.wav,288044,no s'empraven com a anticonceptius sinó per a evitar malalties venèries especialment la sífilis
common_voice_ca_20243594.wav,176684,està feta de paredat arrebossada i emblanquinada
common_voice_ca_21584523.wav,203564,la seva família va rebre una pensió però després es va extingir
common_voice_ca_20165281.wav,196652,el drac és portat avui dia per la colla del drac de sant just
common_voice_ca_19591675.wav,186668,tenien vuit fills dels quals només tres van sobreviure
common_voice_ca_19878060.wav,234284,més tard apareix la seda de color que pot ser taronja groga o també blanca
common_voice_ca_19915499.wav,226604,aquesta àrea es troba molt relacionada amb la investigació operativa
common_voice_ca_20573639.wav,165164,un tipus de dades escalar és el tipus d'una variable escalar
common_voice_ca_20567422.wav,187436,el va voler sotmetre amb unes trampes preparades però no se'n va sortir
common_voice_ca_19895375.wav,213548,la seva escriptura es caracteritza per una inusual gran vocabulari amb notable puresa
common_voice_ca_21669672.wav,234284,a les fulles primer apareixen taques vermelloses i més tard grogues amb marges marronosos
common_voice_ca_17476131.wav,193580,tota dona ben casada per la lluna de mel fa l'escudella salada
common_voice_ca_19898000.wav,163628,sempre ha mantingut el seu caràcter parroquial
common_voice_ca_20493183.wav,215084,originalment comptava l'edifici amb set capelles i una església que no es conserva
common_voice_ca_20187488.wav,209708,només l'educació primària és gratuïta a atakora
common_voice_ca_21852323.wav,211244,aquestes armes podien ser elevades independentment
common_voice_ca_20567410.wav,277292,això no obstant el comprador ha de provar l'existència real d'un possible vici ocult
common_voice_ca_19969442.wav,217388,es considera que és un dels creadors del concepte d'usabilitat
common_voice_ca_21584522.wav,155180,cada infant pot experimentar els símptomes de manera diferent
common_voice_ca_20172590.wav,263468,del primer matrimoni van tenir a l'hereu i del segon matrimoni no va haver-hi successió
