wav_filename,wav_filesize,transcript
common_voice_ca_20561118.wav,195884,era lloc de residència de masovers i no pas dels propietaris la família pons
common_voice_ca_21212435.wav,132908,malgrat tot la temporada no va ser un desastre total
common_voice_ca_20209660.wav,217388,el seu hàbitat natural són els palmerars
common_voice_ca_23589785.wav,145964,els temes cantats eren bàsicament de tipus religiós
common_voice_ca_21212500.wav,90668,també passa en els til·lers
common_voice_ca_20561023.wav,255788,aleshores l'estranger dionís apareix mostra la seva identitat divina i castiga tota la família
common_voice_ca_21212436.wav,167468,fou internacional amb la selecció catalana de futbol
common_voice_ca_20574186.wav,226604,exemples de possibles canals de retorn serien les línies telefòniques fixes o la telefonia mòbil
common_voice_ca_23589763.wav,330284,va tornar de londres per estudiar relacions internacionals i protocol per l'escola internacional de protocol
common_voice_ca_20561022.wav,155948,quan existia un conflicte la llei de roma s'imposava
common_voice_ca_21212438.wav,145964,es troba a centreamèrica sud de mèxic i guatemala
common_voice_ca_20561119.wav,184364,els cognoms occitans que apareixen en els documents sacramentals així ho demostren
common_voice_ca_23589786.wav,165164,el quart moviment contrasta amb el precedent per la seva alegria
common_voice_ca_21212434.wav,205868,durant la segona república espanyola fou processat però finalment fou absolt
common_voice_ca_20315766.wav,163628,el vídeo va ser filmat a les costes de portugal
common_voice_ca_23589764.wav,202028,l'any següent en tornar de vacances d'estiu formaria part dels informatius del matí
common_voice_ca_20209663.wav,169004,el sentit dreta esquerra amunt i avall
common_voice_ca_20567470.wav,157484,la façana s'estructura en tres pisos
common_voice_ca_20561024.wav,188204,també present a malàisia sumatra java i borneo
common_voice_ca_20567472.wav,107564,i en va fer la seva causa
common_voice_ca_21212433.wav,213548,en la presa de possessió jurava en privat conformement a la seva religió musulmana
common_voice_ca_21212501.wav,140588,el seu vas canopi és un dels més antics conservats
common_voice_ca_20322002.wav,161324,en la façana es van afegir elements arquitectònics i decoratius
common_voice_ca_20209664.wav,192044,limita al sud amb nigèria prop de la ciutat de kano
common_voice_ca_23589766.wav,236588,va tenir una filla pòstuma amada amb la seva companya sentimental maria valero
common_voice_ca_23589783.wav,102188,posteriorment tornaria a l'argentina
common_voice_ca_20561117.wav,180524,només un petit llogaret es resisteix a sotmetre's a la dominació de l'imperi romà
common_voice_ca_20315765.wav,240428,aquesta peculiaritat va causar una certa confusió quant al significat dels noms d'algunes estrelles
common_voice_ca_20561120.wav,138284,la coberta és de bigues de fusta i teula àrab
common_voice_ca_23589765.wav,180524,la part superior del podi incorpora una motllura dentada com a decoració
common_voice_ca_19103915.wav,255788,la nit era el regne dels grills de la corneta xisclant dins dels canyars i del silenci de la llum de la lluna
common_voice_ca_21807232.wav,228908,a la banda esquerra s'ha obert una tribuna d'inspiració medieval
common_voice_ca_20325389.wav,184364,té totes les característiques dels hipogeus de la primera edat del bronze
common_voice_ca_20574189.wav,209708,l'objectiu era aconseguir el màxim consens sobre el futur estatut d'autonomia
common_voice_ca_17647932.wav,196652,es proclamaran electes per a cada càrrec els candidats que obtinguin la majoria
common_voice_ca_20325396.wav,126764,cada pel·lícula triga fins a cinc anys a completar-se
common_voice_ca_21807237.wav,236588,va néixer a cuba en una família originària d'alacant
common_voice_ca_20574188.wav,207404,els fongs mucilaginosos generalment es divideixen en dos grups principals
common_voice_ca_20315762.wav,199724,va acollir els colons francesos d'acàdia i s'hi va establir també una colònia de catalans
common_voice_ca_20325543.wav,171308,al cap de dos anys ja estava donant classes a la mateixa institució
common_voice_ca_21807234.wav,240428,es troba en un estat favorable gràcies a les restauracions
common_voice_ca_21212498.wav,94508,té la seva seu en barcelona
common_voice_ca_20315763.wav,178988,gran part del seu treball estigué dedicat a les efemèrides de viena
common_voice_ca_20325542.wav,130604,té forma de polígon quadrilàter
common_voice_ca_20561026.wav,186668,la tracció per eruga és complexa cara i pateix molt desgast
common_voice_ca_21807238.wav,217388,en alguns treballs científics els autors empren les dues denominacions
common_voice_ca_23589784.wav,122924,el conjunt presenta un aspecte compacte
common_voice_ca_20574185.wav,218924,no són recursos disponibles a tots els hospitals i centres sanitaris
common_voice_ca_20574187.wav,157484,aviat guanyaria el premi especial de graduació
common_voice_ca_20561025.wav,192044,hi ha un sistema multipartidista encara que amb poques diferències en les seves organitzacions
common_voice_ca_20325391.wav,130604,es llicencià en dret a la universitat de parís
common_voice_ca_20209665.wav,132908,té una forma aplanada i és prim
common_voice_ca_20567474.wav,225068,es pot aconseguir dotant als ciutadans d'una xarxa de recursos per a facilitar-los que s'apoderen
common_voice_ca_21807230.wav,249644,una de les seves característiques és la multiplicitat de déus
common_voice_ca_23589782.wav,98348,la capital era kassel
common_voice_ca_20322003.wav,248108,l'illa de kauai té desenvolupament turístic moderat i el paisatge no ha sigut gaire modificat
common_voice_ca_20561121.wav,176684,aquest ambient repressiu va dur alguns a escollir l'exili a parís
common_voice_ca_20315764.wav,163628,certs genis de les obres de shakespeare són fades
common_voice_ca_20567473.wav,249644,dins l'àmbit català és més coneguda com a escriptora o crítica de literatura infantil il·lustrada
common_voice_ca_20325394.wav,161324,la cambra sols presenta unes petites obertures de ventilació
common_voice_ca_23589762.wav,194348,la resta de diputats va intentar fer-los callar amb aplaudiments cap al monarca
common_voice_ca_20325390.wav,203564,les escumes de poliuretà s'utilitzen ara en les aplicacions de filtre d'oli d'alta temperatura
common_voice_ca_21212499.wav,198188,el joc té entorns destructibles i en alguns casos entorns interactius
common_voice_ca_20209662.wav,192044,la presència digital de la marca continua creixent ràpidament
common_voice_ca_21212502.wav,157484,després s'hi afegia el midó mentre se li feia bullir cinc minuts
