wav_filename,wav_filesize,transcript
common_voice_ca_19906136.wav,198188,formulà el concepte d'espai català de comunicació
common_voice_ca_20327091.wav,330284,no s'ha de confondre amb el també músic israelià contrabaixista del mateix nom
common_voice_ca_19894786.wav,245804,a la rodalia i hi ha diverses restes antigues aquemènides partes i sassànides
common_voice_ca_20567420.wav,325676,un altre exemple d'aplicació de l'osmosi inversa és un procediment industrial eficaç de descontaminació d'aigües
common_voice_ca_20232183.wav,199724,va estudiar literatura a les universitats de jena i leipzig
common_voice_ca_19737586.wav,206636,cauen a la seva pròpia trampa enamorant-se realment mentre passen el temps junts
common_voice_ca_19907893.wav,175148,va viatjar a antioquia on va imposar el poder de bizanci
common_voice_ca_19894785.wav,178988,les demostracions públiques es van fer entre londres i nova york
common_voice_ca_19502270.wav,230444,una diferència entre plotí i procle és la necessitat de la pregària
common_voice_ca_21850950.wav,169004,a través del comte també va donar-se a conèixer a la cort de berlín
common_voice_ca_19737590.wav,129068,la capital de l'estat és maracay
common_voice_ca_20499584.wav,230444,amb l'aparició del sistema d'escriptura cuneïforme s'escriuran paraules pròpiament dites
common_voice_ca_20215601.wav,148268,estan més baixos que el nivell del pati
common_voice_ca_19399348.wav,211244,pel que en aquesta etapa s'intenta centrar el problema per adquirir una visió pròpia
common_voice_ca_21677696.wav,175148,va ser la primera vegada que tal esdeveniment va tenir lloc
common_voice_ca_21273226.wav,175148,el partit finalitzà amb empat a zero i es decidí als penals
common_voice_ca_19906131.wav,244268,és així com l'automòbil fins llavors considerat un luxe s'imposa com a vector del desenvolupament
common_voice_ca_23791119.wav,238124,es canvià el tradicional uniforme de color blanc per uniformes totalment negres
common_voice_ca_19910248.wav,232748,la bandera és vertical de quatre colors verd blanc negre i vermell
common_voice_ca_21188863.wav,202796,pel mateix preu l'editor oferia una tapa de cuir amb tela de lli
common_voice_ca_20508326.wav,234284,el tipus estel·lar determina en gran manera les condicions presents en un sistema
common_voice_ca_20408138.wav,169004,el pressupost és una tècnica en si mateixa
common_voice_ca_20243596.wav,180524,s'administra per via oral o per injecció intravenosa
common_voice_ca_23784093.wav,261164,en situació de combat era capaç de superar a molts dels caces contemporanis
