wav_filename,wav_filesize,transcript
common_voice_ca_19909236.wav,209708,és notable per l'ús de màgia i per la seva trama d'estructura inusual
common_voice_ca_19908576.wav,251948,el general seleuc va formar el seu imperi selèucida que incloïa la regió del pakistan
common_voice_ca_21287459.wav,231212,es va suspendre el treball en el pont per permetre la realització d'una investigació
common_voice_ca_19905831.wav,134444,el matrimoni va tenir dos fills i una filla
common_voice_ca_19907831.wav,176684,es troba des de les costes de corea fins a les de filipines
common_voice_ca_19502210.wav,290348,aquesta identificació de predicats amb funcions numèriques s'assumeix per la resta de l'article
common_voice_ca_19502269.wav,222764,molt jove va començar a treballar com a jornaler agrícola fent diverses tasques
common_voice_ca_20502081.wav,176684,arribà a la conclusió que aquests fòssils eren dents de tauró
common_voice_ca_21733405.wav,165164,aconseguint un millor aprofitament de l'espectre
common_voice_ca_21262087.wav,155948,el príncep era músic atent i calvinista
common_voice_ca_19502270.wav,230444,una diferència entre plotí i procle és la necessitat de la pregària
common_voice_ca_19909600.wav,226604,l'acidesa del sòl és per tant el resultat de la hidròlisi d'alumini
common_voice_ca_19903577.wav,215084,nat a venècia va traslladar-se a roma quan ja havia complert els vint anys
common_voice_ca_20172029.wav,253484,el seu pare miner de fons va ser un alcohòlic que més tard acabaria suïcidant-se
common_voice_ca_20227492.wav,236588,típicament s'utilitza la recerca binària per a determinar aquesta posició relativa
common_voice_ca_20602862.wav,213548,a més exportà maquinària a diversos països d'amèrica i d'europa
common_voice_ca_20502542.wav,176684,l'ajuntament de sóller li va dedicar un carrer
common_voice_ca_21348621.wav,195884,en aquest context la recollida del testimoni oral ha pres importància
common_voice_ca_20215601.wav,148268,estan més baixos que el nivell del pati
common_voice_ca_20227491.wav,203564,era un home culte i poliglot i va viatjar per tot europa
common_voice_ca_19399348.wav,211244,pel que en aquesta etapa s'intenta centrar el problema per adquirir una visió pròpia
common_voice_ca_19399367.wav,218924,fou una de les peces més característiques i emblemàtiques de l'uniforme d'hússar
common_voice_ca_19895275.wav,245804,viu a les muntanyes de bolívia colòmbia l'equador el perú i veneçuela
common_voice_ca_20227490.wav,215084,el costat lingual és estret
common_voice_ca_21677696.wav,175148,va ser la primera vegada que tal esdeveniment va tenir lloc
common_voice_ca_20172008.wav,172844,com que tenia el mar a la vora hi anava i recollia petxines i roques
common_voice_ca_20324515.wav,175148,egipte va tenir durant molt de temps llaços amb líbia
common_voice_ca_17484826.wav,145964,l'empresa elaborarà un calendari de guàrdies amb una antelació mínima de dos mesos
common_voice_ca_17529302.wav,188204,per casar filles solteres no vengues moltons ni ovelles
common_voice_ca_20561124.wav,136748,la revolta va augmentar contínuament tot el febrer
common_voice_ca_20502458.wav,240428,immediatament convenç a club afició i cos tècnic de la seva qualitat
common_voice_ca_19897023.wav,148268,va ser promogut a major general
common_voice_ca_20325680.wav,186668,ara en canvi només produeix continguts del cor
common_voice_ca_21242055.wav,259628,la revista ha estat considerada com la principal revista d'il·lustració botànica en els seus començaments
common_voice_ca_20602844.wav,274988,llavors no jugava com defensa central ho feia com centrecampista ofensiu
common_voice_ca_23784093.wav,261164,en situació de combat era capaç de superar a molts dels caces contemporanis
common_voice_ca_23784092.wav,265004,el primer acte del nou pare va ser emancipar al seu fill
common_voice_ca_20561100.wav,215084,el govern es va recolzar en aquesta nova moneda de valor fix finalment acceptada
common_voice_ca_21055114.wav,218924,és considerat com un precursor dels fundadors de la química moderna
common_voice_ca_19907787.wav,238124,l'edifici s'adapta al desnivell del terreny enlairant-se sobre el riu de rialb
common_voice_ca_20512548.wav,144428,l'any següent se'n duplica la producció
common_voice_ca_20561122.wav,184364,no obstant això ja estava buida quan el lladre va arribar-hi
common_voice_ca_21733459.wav,245804,durant la primera fase cada divisió estarà dividida en quatre grups
common_voice_ca_21264185.wav,136748,aquest el va fer el seu instrument en totes les crueltats
common_voice_ca_21242058.wav,226604,espècimen amb un fruit voluminós de pell verda groguenca amb taques marrons
common_voice_ca_21300282.wav,195884,es pot expressar en valors absoluts o en percentatges sobre el cens
common_voice_ca_19519599.wav,249644,conserva documentació de diferents organismes de l'administració
common_voice_ca_19897465.wav,178988,es tracta de la casa més antiga de l'esparra
common_voice_ca_20602860.wav,145964,el butlletí no tenia una estructura fixa
common_voice_ca_19907874.wav,99884,no va presentar apel·lació
common_voice_ca_17529174.wav,182828,la concurrència augmentava d'ençà que havia desaparegut l'espectre malalt i inflat de canyamel
common_voice_ca_19421270.wav,268844,aquestes es concentren en períodes musicals en gèneres musicals o en algun músic molt influent
common_voice_ca_20328730.wav,211244,en retirar-se passà a treballar com a actuari de la junta de pensions d'estocolm
common_voice_ca_20325682.wav,153644,el realitza una persona de forma manual
common_voice_ca_20172027.wav,207404,vegeu la llista dels topònims de santa llúcia de mur presents a la viquipèdia
common_voice_ca_20502082.wav,234284,quan s'erigí assenyalava el començament del terme de vilalba que llavors formava municipi propi
common_voice_ca_19907876.wav,194348,estudia a la universitat gregoriana de roma i es doctora en dret canònic
common_voice_ca_19901782.wav,192044,culmina a la part superior amb una estrella roja de cinc puntes
common_voice_ca_19906539.wav,223532,la ficció de cinema i sèries americanes també formaran part de la seva programació
common_voice_ca_19909566.wav,213548,el compositor no va tenir més remei que anar-hi
common_voice_ca_23784091.wav,286508,a l'interior el portal forà dóna a un vestíbul cobert de volta de creueria
common_voice_ca_20852387.wav,164396,va estudiar a l'escola catedralícia de gniezno i a parís
