wav_filename,wav_filesize,transcript
common_voice_ca_19906401.wav,172844,treballà com a cap del servei de recaptació de la diputació de girona
common_voice_ca_19909236.wav,209708,és notable per l'ús de màgia i per la seva trama d'estructura inusual
common_voice_ca_19908576.wav,251948,el general seleuc va formar el seu imperi selèucida que incloïa la regió del pakistan
common_voice_ca_19905831.wav,134444,el matrimoni va tenir dos fills i una filla
common_voice_ca_20432871.wav,241964,d'ara endavant laos és reorganitzat sota la forma d'un estat centralitzat
common_voice_ca_19906136.wav,198188,formulà el concepte d'espai català de comunicació
common_voice_ca_20327091.wav,330284,no s'ha de confondre amb el també músic israelià contrabaixista del mateix nom
common_voice_ca_19894786.wav,245804,a la rodalia i hi ha diverses restes antigues aquemènides partes i sassànides
common_voice_ca_19907831.wav,176684,es troba des de les costes de corea fins a les de filipines
common_voice_ca_19912887.wav,218924,durant una gran part de l'edat mitjana va ser membre de la lliga hanseàtica
common_voice_ca_19502210.wav,290348,aquesta identificació de predicats amb funcions numèriques s'assumeix per la resta de l'article
common_voice_ca_19906400.wav,153644,però un canvi en la situació política fa que s'aturi aquesta persecució
common_voice_ca_19502269.wav,222764,molt jove va començar a treballar com a jornaler agrícola fent diverses tasques
common_voice_ca_20502081.wav,176684,arribà a la conclusió que aquests fòssils eren dents de tauró
common_voice_ca_19523326.wav,159788,al primer i segon pis cada obertura té un balcó
common_voice_ca_20361519.wav,232748,després de l'esclat de la guerra civil es va mantenir fidel a la república
common_voice_ca_19453497.wav,256556,va reconèixer que el fracàs havia estat degut parcialment a la seua situació personal
common_voice_ca_20209663.wav,169004,el sentit dreta esquerra amunt i avall
common_voice_ca_21262087.wav,155948,el príncep era músic atent i calvinista
common_voice_ca_19737586.wav,206636,cauen a la seva pròpia trampa enamorant-se realment mentre passen el temps junts
common_voice_ca_20154214.wav,176684,era una caravel·la nòrdica de veles quadrades amb un velam molt senzill
common_voice_ca_19907794.wav,88364,i arribà la fama
common_voice_ca_23392465.wav,144428,té un cos de mida mitjana allargat i pesat
common_voice_ca_19907893.wav,175148,va viatjar a antioquia on va imposar el poder de bizanci
common_voice_ca_21262019.wav,214316,la majoria vasta de les seves pintures presenten aristòcrates i noblesa a europa
common_voice_ca_20171383.wav,259628,es tracta d'una cova natural amb restes de l'edat del bronze sense estructures d'habitacions
common_voice_ca_20325572.wav,217388,començà els seus musicals de piano i solfeig amb roser busquets
common_voice_ca_20885576.wav,188204,en només sis mesos les forces de l'eix havien estat expulsades del nord d'àfrica
common_voice_ca_23791138.wav,165164,un exemple d'això ho trobem a la població de sardenya
common_voice_ca_19894785.wav,178988,les demostracions públiques es van fer entre londres i nova york
common_voice_ca_23498485.wav,199724,també organitzen activitats per a fomentar el voluntariat
common_voice_ca_20325571.wav,167468,als extrems s'hi situen dos túnels de pedra
common_voice_ca_19502270.wav,230444,una diferència entre plotí i procle és la necessitat de la pregària
common_voice_ca_19910892.wav,225068,la influència de sofia en la política fou importantíssima
common_voice_ca_21189980.wav,192812,van aparèixer a principis del juràssic i va extingir-se al final del cretaci
common_voice_ca_19909600.wav,226604,l'acidesa del sòl és per tant el resultat de la hidròlisi d'alumini
common_voice_ca_20408110.wav,238124,el poema sembla haver estat popular pels acudits i endevinalles pronunciats al banquet
common_voice_ca_20508515.wav,219692,cal destacar que a la seua rodalia existeixen unes coves prehistòriques
common_voice_ca_19421435.wav,211244,la localitat rep així mateix el nom donzell d'agramunt
common_voice_ca_20086486.wav,163628,és a prop del límit del terme municipal
common_voice_ca_19895093.wav,255788,quan el diafragma es relaxa l'aire és expirat per la mateixa elasticitat dels teixits pulmonars
common_voice_ca_23791180.wav,294188,deu el seu nom al científic escocès sir david brewster
common_voice_ca_20148026.wav,244268,no obstant això les dades químiques i espectroscòpics van demostrar que l'estructura era incorrecta
common_voice_ca_21300481.wav,241964,just al costat hi ha el palauet d'aiora i els seus jardins que cobreixen l'estació
common_voice_ca_20172029.wav,253484,el seu pare miner de fons va ser un alcohòlic que més tard acabaria suïcidant-se
common_voice_ca_19908846.wav,134444,allà treballen més de mil persones
common_voice_ca_19737590.wav,129068,la capital de l'estat és maracay
common_voice_ca_20754784.wav,113708,també va escriure una paròdia sobre els problemes d'aristòtil
common_voice_ca_20221782.wav,144428,és el club dels militars
common_voice_ca_19963589.wav,211244,l'escala està il·luminada per la claraboia d'un cimbori que sobresurt de la teulada
common_voice_ca_20227492.wav,236588,típicament s'utilitza la recerca binària per a determinar aquesta posició relativa
common_voice_ca_19894241.wav,202796,els nois sortien en processó i demanaven almoina a tothom que trobessin en aquests llocs
common_voice_ca_20499584.wav,230444,amb l'aparició del sistema d'escriptura cuneïforme s'escriuran paraules pròpiament dites
common_voice_ca_20602862.wav,213548,a més exportà maquinària a diversos països d'amèrica i d'europa
common_voice_ca_20327120.wav,244268,la turbulència pot trencar l'estratificació que crea capes mixtes d'aigua
common_voice_ca_19894401.wav,203564,la masia és una construcció de gran volum format per dos cossos
common_voice_ca_21723331.wav,132908,professà en la seva ciutat natal
common_voice_ca_20502542.wav,176684,l'ajuntament de sóller li va dedicar un carrer
