wav_filename,wav_filesize,transcript
segment_0000.wav,0,un drac una princesa i un cavaller
segment_0001.wav,0,la llegenda de sant jordi de care santos i dani cruz
segment_0002.wav,0,des d'el temps de la picor
segment_0003.wav,0,diu la llegenda hi havia un drac dolent que tenia tot un poble mort de por
segment_0004.wav,0,i voleu saber perquè perquè era lleig fastigós cruel venjatiu banyut li feia pudor l'alè
segment_0005.wav,0,i quan veia un nen perdut
segment_0006.wav,0,se'l cruspia en un no res
segment_0007.wav,0,pensaven si cada dia la fera es mengés algú el problema acabaria
segment_0008.wav,0,però no hi havia ningú que s'oferís voluntari més aviat tot el contrari
segment_0009.wav,0,fins que algú va proposar resoldrem aquest mareig fent cada dia un sorteig
segment_0010.wav,0,i així s'ho van empescar durant una temporada fins que tota una impensada els va venir a pertorbar
segment_0011.wav,0,i és que el sorteig d'un mal dia va portar-los la sorpresa
segment_0012.wav,0,de beure que el drac havia de cruspir-se la princesa
segment_0013.wav,0,però si és filla del rei i això que si ho diu la llei ho trobo poc oportú d'això no és lliure ningú
segment_0014.wav,0,mentre esperava s'altesa que arribés el seu final cantava amb calma i dolcesa una cançó original
segment_0015.wav,0,si em salvés un cavaller ho trobaria tan bé
segment_0016.wav,0,i vet aquí que un cavall va aparèixer a l'horitzó el muntava un infantó d'armadura de metall
segment_0017.wav,0,el cavaller es deia jordi del cavall qui se'n recordi el seu nom ens podrà dir potser es deia blanc
segment_0018.wav,0,o albí
segment_0019.wav,0,amb la llança en una mà i el coratge per bandera sant jordi matà la fera i la princesa salvà
segment_0020.wav,0,el drac va fer un esbufec el poble va fer un sospir
segment_0021.wav,0,ella va picar l'ullet i sant jordi va enrogir
segment_0022.wav,0,aquella nit sense penes al pobles s'hi va fer un ball sobre el drac els nens i nenes anaven amunt i avall
segment_0023.wav,0,músiques com marrameus inspiraven tots els peus
segment_0024.wav,0,el rei que estava orgullós va preguntar al cavaller que potser voldrieu vos ma filla com a muller
segment_0025.wav,0,però sant jordi va respondre
segment_0026.wav,0,no sóc digne de l'honor majestat de ser-vos gendre
segment_0027.wav,0,més m'estimo tocar el dos tant de bo pugueu comprendre
segment_0028.wav,0,que no us voleu casar amb mi va fer la princesa airosa ai com us ho podré dir
segment_0029.wav,0,doncs casar-se és una cosa que crec que no fa per mi
segment_0030.wav,0,però teniu aquesta rosa per quan us dic d'un sospir de tristesa melangiosa em recordareu preciosa
segment_0031.wav,0,jordi meu és clar que sí
segment_0032.wav,0,i amb l'armadura brillant i la capa alçant el vol sant jordi va marxar sol a bon pas tot murmurant
segment_0033.wav,0,m'emporto dins del meu cor
segment_0034.wav,0,el premi del seu record
segment_0035.wav,0,i al final d'aquella senda ja era escrita la llegenda
segment_0036.wav,0,un divendres vint de març escriptora i dibuixant després de pencar bastant
segment_0037.wav,0,es van quedar descansats
segment_0038.wav,0,vet aquí el conte contat a veure si us ha agradat
segment_0039.wav,0,has escoltat un drac una princesa i un cavaller la llegenda de sant jordi
segment_0040.wav,0,de care santos i dani cruz
segment_0041.wav,0,llegit per mi oriol rafel
segment_0042.wav,0,aquest audiollibre ha estat produït per storyside
segment_0043.wav,0,copyright dos mil disset
